hex9,value
89196b9636bffff,55477.4864382843
89196b06147ffff,68699.56619819305
89196b9600bffff,92838.12988043811
89196b063b7ffff,173240.4011746883
89196b063a3ffff,167020.04332759895
89196b8512bffff,135080.42446502775
89196b96357ffff,57758.72993038628
89196b871abffff,1431.5714623226015
89196b8624bffff,19006.603682323468
89196b960c7ffff,123189.20895661875
89196ba940fffff,47659.54564176505
89196bb968fffff,146093.50317848558
89196b06323ffff,12953.11427576623
89196b940b7ffff,91112.58100748553
89196b0633bffff,196610.30309879457
89196ba957bffff,77381.26733142335
89196b8e933ffff,59690.16000513545
89196b943b3ffff,57846.782778435845
8919682ca13ffff,38979.145424437
89196b86673ffff,104089.67210902186
89196b85a5bffff,24768.704402598778
89196b85e13ffff,128137.45592414038
89196b84697ffff,56887.52244739368
89196b960d7ffff,145351.31259039004
89196b95d97ffff,19099.87600343062
89196b33457ffff,115814.69061400564
89196b3340bffff,24981.001146717586
89196bbb66bffff,99745.5981492395
8919682ca77ffff,20420.77953651217
89196b85e7bffff,54685.530600319034
89196b0408fffff,55094.789649563274
89196b862dbffff,394.1769962307539
89196bbb60fffff,1593.485882819744
89196b85a4fffff,14711.104456729421
89196b9630bffff,1000.4803883733106
89196b0455bffff,112038.27709272716
89196b95997ffff,80476.97088386245
89196b3a6cbffff,50584.10473761222
89196b33463ffff,19131.39318521096
89196b85ad3ffff,134187.14441358228
89196b94143ffff,85769.73599641513
89196b87123ffff,115786.95243486327
89196ba954bffff,24437.803979280645
89196b06187ffff,103750.0495193039
89196b9415bffff,7730.136793132353
89196b06117ffff,180305.27613430884
89196ba942fffff,114844.99746719646
89196b06307ffff,20530.77513032818
89196b14d57ffff,57564.486277780175
89196b33447ffff,50546.959621043454
89196b069cfffff,17423.911669463352
89196b06943ffff,16892.891943858547
89196b33453ffff,97294.97723770037
89196b842cbffff,90598.09245823743
89196b05887ffff,46249.09605515875
89196b85107ffff,23485.35028515154
89196b85e83ffff,28205.287113265964
89196b8666bffff,83626.75186174456
89196b84677ffff,2714.130954180544
89196b8c9abffff,13141.051826757197
89196b943a3ffff,80762.96149426441
89196b95d33ffff,149948.985593381
89196b0400bffff,45755.71326510524
89196bb9603ffff,113769.68767579472
89196b9640bffff,139846.10520584384
89196b33087ffff,155591.99821096397
89196b9432fffff,966.1548999687641
89196b0596bffff,2524.024882678063
89196ba9543ffff,41831.580218709896
89196b963c7ffff,14838.928851703982
89196b945cbffff,2923.8805111746296
89196bb967bffff,106641.01565685839
89196b33007ffff,2404.3120186393453
89196b042b7ffff,21121.21651710759
89196b0614fffff,13698.821420872082
89196b862cbffff,53868.64281306967
89196b9646fffff,119454.9678704337
89196b06927ffff,103965.55127822077
89196b86253ffff,102729.57535624206
89196b148afffff,57068.779169415015
89196b851bbffff,607.8098650726549
89196b9457bffff,16433.09336512229
89196b14973ffff,116566.5721558715
89196b96047ffff,20217.840027647082
89196b06377ffff,68148.07296145674
89196b061bbffff,84889.27165191839
89196b95983ffff,74252.85998375855
89196b06827ffff,68469.06341564884
89196b33083ffff,266801.8087858334
89196b85e8bffff,144762.70914228223
89196b0693bffff,126724.96023700268
89196b1493bffff,113606.63413431408
89196bbb673ffff,128031.67933275196
89196ba9473ffff,77592.96439796104
89196b3342bffff,11505.529403972323
89196bbb683ffff,57833.35784782421
89196b941cbffff,105958.15184077232
89196bbb663ffff,26381.09587109242
89196ba9453ffff,94049.37264440632
89196b85e9bffff,90280.31964542261
89196b14827ffff,317.44539512260457
89196b95d87ffff,56001.74815516136
89196b85123ffff,1255.134866026603
89196b8668bffff,63861.60126646468
89196b8660bffff,69737.09855549675
89196b148a3ffff,42037.78505409634
89196b8424bffff,152727.8046827062
89196b3a6d3ffff,9126.250263019889
89196b85e0bffff,126606.40481869545
89196b85e63ffff,25173.485985677413
89196b0589bffff,413.9037474094786
89196b96413ffff,1641.9457657962516
89196b85e03ffff,55841.04459877363
89196b941dbffff,96196.67220230118
89196b8c92fffff,143053.0735565538
89196b149dbffff,10932.346404651256
89196b94153ffff,96537.7376632595
89196ba9257ffff,41927.41763491836
89196b9414fffff,72938.7249953482
89196ba956bffff,61293.90951699273
89196b94557ffff,73421.29545195871
89196b045d7ffff,140858.2477919108
89196b96073ffff,80510.18125574723
89196bb9617ffff,6867.290397112383
89196b85133ffff,53553.54614249147
89196b9606fffff,45465.68292502867
89196b85a43ffff,73158.26766579642
89196b84663ffff,97807.45728527808
89196bbb2c3ffff,23705.360636044883
89196b95dbbffff,98257.51511918599
89196b95917ffff,89410.15107969588
89196b862cfffff,18196.9781584355
89196b045cfffff,53155.608850004
89196b045cbffff,61606.87986016527
89196bbb253ffff,93240.74770312547
89196b06173ffff,131516.76707889923
89196bbb2cbffff,85647.63379002427
89196b94e5bffff,72963.36973721944
89196b04087ffff,105656.31911541082
89196b85e6bffff,106148.84142912607
89196b964c7ffff,151215.56558681466
89196b059dbffff,55680.01120274469
89196b148b3ffff,8052.129900630161
89196b04553ffff,137765.51880061813
89196b06973ffff,26568.678110618086
89196b0610bffff,135173.44141757654
89196b33477ffff,160165.2882122443
89196b871b3ffff,85429.3308128922
89196b8c9afffff,78478.6782183808
89196b86243ffff,101735.87307494687
89196b1492bffff,109314.63401177987
89196b330bbffff,105209.91393383945
89196b95987ffff,24588.631044511734
89196b960d3ffff,1275.2072395076707
89196b96473ffff,130113.1010911158
89196b06957ffff,155459.38047557714
89196ba9243ffff,128202.56943825717
89196b3a6dbffff,159300.16053203514
89196bb9693ffff,30471.847917576233
89196bb9697ffff,112989.84858560686
89196b94327ffff,61942.11207038516
89196ba9253ffff,10875.190084644222
89196b95d2fffff,135385.399125901
89196b06367ffff,205499.9480163767
89196b84253ffff,112534.32544283595
89196b84243ffff,12653.302730888025
89196b165afffff,78.3235475837105
89196b14dd3ffff,60822.24259663395
89196b8460bffff,26043.63413686636
89196b063a7ffff,13898.174260031356
89196b0682fffff,31711.25797221788
89196b9649bffff,9510.183373955526
89196b85a53ffff,129492.25956378854
89196b84693ffff,35898.15258478919
89196b3044bffff,54227.35392057034
89196b14dd7ffff,5942.97043881181
89196b8513bffff,100642.38943863602
89196bb92dbffff,172227.44427419183
89196ba9097ffff,64.2805263538813
89196b05ba7ffff,112204.22333311586
8919682ca1bffff,106988.38366482726
89196b33017ffff,123161.98301404533
89196b33127ffff,5682.337080354146
89196b06107ffff,13691.854582232967
89196b943afffff,90524.50174262382
89196b0632bffff,132596.2794734535
89196b85e93ffff,111730.64618056991
89196b85e73ffff,100283.98072938944
89196b8c9b3ffff,99818.6456924891
89196b0617bffff,151769.87479861145
89196b85ac3ffff,60999.51524792374
89196b8466bffff,61934.9277805787
89196bb9687ffff,4757.773171531177
89196b33473ffff,119102.355010059
89196b95d2bffff,5844.769684986897
89196b9637bffff,53757.560595000796
89196b30093ffff,38166.277058883345
89196b06923ffff,156088.7887534649
89196b84603ffff,177688.97879867785
89196b96057ffff,13355.924169010972
89196b14837ffff,4176.278321766653
89196ba9457ffff,90095.90370002693
89196b8468fffff,163638.07752990344
89196bb9673ffff,156324.26608951174
89196b06113ffff,1377.1298898049827
89196b3b597ffff,78281.03023628946
89196b84613ffff,71103.51465951868
89196b058a7ffff,9729.85422050067
89196b04047ffff,3.44187806795009
89196b14dcfffff,124550.74274419523
89196ba954fffff,93320.30766601527
89196b16537ffff,28100.592827117034
89196b045c3ffff,164871.5660693852
89196b330b3ffff,43617.44366980582
89196bbb61bffff,37904.199368604764
89196b8e923ffff,24449.777393112512
89196b95993ffff,33449.49818820499
89196b95d23ffff,158747.2676891966
89196b3008bffff,1983.3029849020393
89196b0597bffff,0.13625180156355263
89196b95db3ffff,47951.97161846467
89196b063afffff,97640.86148471128
89196bbb2dbffff,37734.082379726446
89196b94547ffff,42913.445312119045
89196b0594fffff,10842.522888864425
89196b05b27ffff,137649.80035132595
89196b3008fffff,4474.388000863961
89196b95907ffff,74606.43619870409
89196b0618fffff,40699.942494644405
89196b940a7ffff,87105.85509907387
89196ba920bffff,2467.8257490476926
89196b8669bffff,75364.10214569556
89196b0400fffff,5362.538270752226
89196b30447ffff,30548.606272939254
89196b0459bffff,35984.71914600803
89196bbb613ffff,137429.1040472262
89196b14d43ffff,87050.59671471322
89196ba921bffff,29672.64753484537
89196b14953ffff,68408.35060914996
89196b95dabffff,130631.20982530841
89196b9646bffff,82.6851144200142
89196b945cfffff,93104.3931970066
89196b866d7ffff,6.882782270234742
89196bb9683ffff,118972.41819661608
89196bbb25bffff,2372.5522697737206
89196b85527ffff,2521.74039228815
89196b8e9a3ffff,56522.91668556726
89196b8e9bbffff,11978.596326108915
89196b0610fffff,80089.11920794395
89196b061b3ffff,7163.8177696385155
89196b06947ffff,53426.40677379138
89196b8661bffff,68763.24361872429
89196b04003ffff,63484.93535872223
89196b33003ffff,16868.3155429353
89196b30463ffff,124061.69105312906
89196b3009bffff,105406.14681065286
89196b87137ffff,26573.192196365573
89196b842c3ffff,12799.01861069053
89196b842dbffff,39600.473933192836
89196bbb24fffff,13990.056543541501
89196bbb60bffff,139136.1115421808
89196b148b7ffff,114521.75459570275
89196b95dafffff,3935.7763841285314
8919682ca0fffff,27124.787268119726
89196b9601bffff,101609.11455318668
89196b040bbffff,7244.115083932578
89196b8c9a3ffff,111933.86703228534
89196b943a7ffff,4715.750252682001
89196b85167ffff,10635.118930556324
89196b963d7ffff,28210.657164628094
89196bb92d3ffff,412.14840856422927
89196b1492fffff,109291.5435840959
89196b0690fffff,130032.4438012056
89196b8e92bffff,68315.83752336877
89196bb960fffff,31215.607044453274
89196bb9613ffff,108529.53985736721
89196b06953ffff,164811.9183817363
89196b871b7ffff,687.9701407092474
89196b05883ffff,43881.61466655523
89196b9414bffff,28029.385193093993
89196b058a3ffff,157489.5968234327
89196b871a3ffff,112401.26570578637
