hex9,value
89196b8627bffff,35660.99449061901
89196b862bbffff,265483.06207660993
89196ba952fffff,49596.41851137177
89196b86287ffff,137245.5412232403
89196b86277ffff,265486.4939002176
89196ba91b7ffff,2786.6227566128505
89196b8445bffff,40198.149630332286
89196b86233ffff,93669.84687283219
89196b8449bffff,232478.32099445348
89196b846a3ffff,180339.1051126263
89196b846abffff,144870.82031805936
89196b863d7ffff,78610.48746444976
89196ba827bffff,139380.69515644095
89196b86247ffff,53588.854880799845
89196b8628fffff,192141.76686369278
89196b844c3ffff,58668.249428884475
89196ba9563ffff,5326.82925663681
89196b846afffff,71011.07950341544
89196ba9577ffff,13292.451000426587
89196b86283ffff,6876.8399402761015
89196b844cfffff,180536.23995552567
89196b862b3ffff,205257.50499031515
89196b8620bffff,10125.915989129466
89196b86203ffff,19255.183450260207
89196ba9183ffff,83.00684324902292
89196b862a7ffff,89043.92875409484
89196b8622fffff,265525.4614325607
89196b863dbffff,66973.68096718262
89196b8604fffff,5413.963735407759
89196ba825bffff,78.63773822662975
89196ba8263ffff,77238.11479818786
89196b84497ffff,216712.683556846
89196b8444bffff,173199.4842210874
89196b86237ffff,55815.924632161375
89196ba9193ffff,96821.27077095155
89196b862a3ffff,150774.1676445883
89196b862b7ffff,203245.65830718452
89196b846b3ffff,103765.12083332904
89196b84487ffff,1629.3496819772367
89196b8620fffff,88046.78685715173
89196ba9567ffff,87376.38034432905
89196ba9187ffff,1354.7842948887474
89196b84443ffff,86337.4709686271
89196b863c3ffff,38599.06042197729
89196b862afffff,515.899190422299
89196b862abffff,265015.14145278925
89196b86213ffff,39060.88806141152
89196b844d3ffff,14005.552401769106
89196b846a7ffff,4522.741243275377
89196ba9197ffff,221151.16705104546
89196ba824fffff,187083.15504592584
89196b86273ffff,257073.06108536117
89196b86217ffff,265471.7088465567
89196b8623bffff,265495.37920314417
89196b84493ffff,265516.57455647213
89196b8635bffff,115104.50976467883
89196b8626bffff,44667.68163774424
89196b86267ffff,265497.09069376835
89196b86263ffff,254798.6893359783
89196b844c7ffff,141319.97710194776
89196b86223ffff,251584.86746974254
89196b844d7ffff,208438.33008692658
89196b8606fffff,84779.77682755628
89196b863d3ffff,265541.5132507853
89196b8606bffff,138042.44390403322
89196b84483ffff,172601.07326357314
89196b8448bffff,8739.955304214443
89196ba824bffff,194531.55176322718
89196b84453ffff,125595.43782216447
89196b8626fffff,265488.2030290195
89196ba8267ffff,322.24368750252944
89196b86227ffff,154413.88876714214
89196b846bbffff,183956.67168299743
89196b86207ffff,253197.45381196906
89196b8622bffff,265505.97730405483
89196b84617ffff,7538.489262920066
89196b84687ffff,53687.69970919842
89196ba91b3ffff,10182.997320741997
