hex9,value
89196ba1167ffff,266994.04319864605
89196bb200bffff,266474.1384898636
8919694c343ffff,267042.3314977502
89196948077ffff,230773.84561737097
89196b16343ffff,138637.0761822975
89196bbb3c3ffff,108707.3294956625
89196b16a33ffff,266076.2183335086
89196bb8e8bffff,138084.9134096559
8919694a41bffff,118173.36769743491
89196969047ffff,112496.544813018
8919694c167ffff,7441.18128143767
8919694f4c3ffff,266532.3425918943
89196ba6d93ffff,268349.5807808043
89196b141dbffff,266198.7592485085
89196b16c57ffff,60.00385505230961
8919694b353ffff,218957.73207840958
89196ba5eb3ffff,20228.800298363243
8919694f4b3ffff,48942.82538649865
89196bb093bffff,72781.0779572245
89196baa527ffff,57668.632698271715
89196ba1597ffff,142334.86925414938
89196bb1137ffff,102427.18905968156
89196bacd8fffff,8547.067221454523
89196ba33b7ffff,110019.91269828698
89196960507ffff,102080.39696845139
89196bb338bffff,53500.119291675495
89196ba0453ffff,32225.011462331262
89196bba1b7ffff,197660.96864015464
89196968453ffff,76826.94435128277
89196ba167bffff,266681.4435014998
89196bb9993ffff,171194.8815910019
89196ba6587ffff,270.32983447397913
89196bad813ffff,2145.6145494644416
89196bb5157ffff,76248.25751959441
89196bb52b3ffff,26000.619552627104
89196bb53c3ffff,28161.808212240314
89196b1430fffff,266351.30295911775
89196bb5ab7ffff,28818.154263970806
89196b16e87ffff,233673.72932029938
89196ba6c97ffff,75347.08658830306
89196ba3347ffff,266796.68951659644
89196baf0afffff,181264.5302213021
89196b84bafffff,106011.79995995299
89196bb990fffff,152909.04280627487
89196969287ffff,32787.35880287232
89196ba21b7ffff,262096.877530744
89196bb4293ffff,253219.0368011294
89196bb5dbbffff,115561.93714162438
89196ba152fffff,200399.4321579238
8919694dc8bffff,170759.42354377097
89196bb1953ffff,362.0151655718207
89196ba64b7ffff,179453.11083873257
89196bb2cdbffff,266687.1428171408
89196bb4c4bffff,267754.41485496785
8919694dc77ffff,30584.315413468754
89196bb0c8fffff,79346.71048802332
89196948257ffff,169978.4103736692
89196bb0a7bffff,266847.2941053876
89196bb13b7ffff,77085.72055744972
89196ba6003ffff,28142.576603330665
89196ba2e2fffff,267274.0789463561
89196bb44cbffff,3613.525267999486
89196bb257bffff,77040.57150787173
89196b1632bffff,266014.3550047507
8919696921bffff,189814.68475891114
89196ba1c57ffff,64816.210335756885
89196bb2d37ffff,183.57819852391322
89196bb2097ffff,189862.0105732236
89196bb290bffff,42680.457679495055
89196ba089bffff,267399.2326102974
8919694e633ffff,199127.81584337624
89196ba6413ffff,22135.423821460616
89196bb436fffff,6157.183378328773
89196b86593ffff,256149.05519125095
89196ba3333ffff,266853.71453571535
891969693afffff,268346.2566559594
8919694154fffff,25792.68183182382
89196ba28dbffff,216379.87330189423
89196bb0ccfffff,197712.20886896196
89196bb51cfffff,47793.148261368704
89196969107ffff,5335.006600177017
89196ba7663ffff,8640.32757303127
89196bad853ffff,2725.9217058650647
89196bb5393ffff,184040.60372060596
89196bb2dafffff,0.956594019093445
89196bb1ba7ffff,266786.3426313322
89196bb9953ffff,203461.42663409724
89196b16d63ffff,91566.19048531585
8919694a823ffff,266358.5489398305
89196bb8ec7ffff,237192.2802086038
89196ba2543ffff,25407.541518738308
89196bb32bbffff,240852.810627807
89196bb9e5bffff,86612.3716889082
891969496b3ffff,19503.1059207291
8919696845bffff,268354.4432706451
89196b145c7ffff,224671.34491464528
8919695962bffff,85083.46118918106
89196bb58b3ffff,267639.8600658024
89196bb9e0bffff,266070.37862282933
891969695b3ffff,210490.99868149185
89196bb2957ffff,128109.48873275943
89196969dd3ffff,76185.32337884852
89196bb5a33ffff,186772.56436642236
89196ba1497ffff,2573.301522371479
89196b14603ffff,77377.42007360411
89196969e77ffff,19535.041994929245
89196bba0a3ffff,1907.0449825019414
89196bb5153ffff,16192.683835047135
89196ba2037ffff,257327.3717482692
89196961503ffff,9741.622809529166
89196ba108fffff,165490.101455476
89196bb5d17ffff,73383.57255388706
89196ba1c4bffff,98128.6894527489
89196bb9e1bffff,266059.8591631716
89196b84b0bffff,19899.785315586356
89196b16d37ffff,69063.88151950839
89196969183ffff,47168.84292232731
89196bb1e13ffff,96090.8108919975
89196ba2377ffff,228359.5057336139
8919694156fffff,14880.839134434776
89196ba8197ffff,1256.139187222818
89196b848dbffff,265891.55313623225
89196bb7047ffff,220687.30019809157
89196bb242fffff,259513.73020025739
89196bb0c0bffff,114583.13269402807
89196ba29bbffff,107740.96435775788
89196bb59d7ffff,267709.16766160924
89196bb84cfffff,133474.59788582346
89196ba5c0bffff,95236.12874156058
89196ba25cfffff,41353.40973999123
89196bb91abffff,129440.27710156629
8919696928bffff,251065.75787330297
89196bba027ffff,48736.893694079445
89196bb0c43ffff,22696.87854071711
8919694dc7bffff,83562.16537215031
89196bb7083ffff,220226.69083124306
89196b14447ffff,45738.06429538599
89196bb4e83ffff,261161.0767953582
89196ba12b7ffff,266809.1878833478
8919694da43ffff,266992.5044759892
8919696844fffff,0.04629233428148924
89196969497ffff,23587.717004880404
89196ba234bffff,45624.65756564666
89196bb0323ffff,228540.43610706954
89196949193ffff,7685.797418118014
89196949523ffff,116459.82504062193
89196940033ffff,3575.082604279336
89196969e3bffff,230070.3029979302
89196ba1603ffff,266688.8864866146
89196b143abffff,266314.9186754512
89196bb8e3bffff,42222.01070910662
89196bb0abbffff,240773.4099211327
89196b9656fffff,143313.98478357666
89196ba202bffff,219986.07162307994
89196b16893ffff,4552.494224616794
89196bb1393ffff,60092.58848170311
89196bb9ebbffff,144615.00754061795
89196b14663ffff,44782.06552871248
89196baa6a3ffff,31848.35928232358
8919694f4c7ffff,264645.96777524345
8919694ac1bffff,195517.94111302402
89196bb166fffff,194033.1103471651
89196bb44cfffff,160900.95177721098
89196b84b33ffff,265537.78116535326
89196b14543ffff,266134.9373169008
89196bb99c7ffff,266322.5340405765
89196bba0afffff,220641.95793097588
89196bb8453ffff,266009.5252220291
89196ba0297ffff,267022.1803203756
89196bb11bbffff,2161.304735941201
89196b16eabffff,265948.6651353632
89196bb4d63ffff,131780.27143019863
89196ba2e5bffff,178010.69346351404
89196b14153ffff,266230.67004513636
89196bb0a6fffff,21441.62596443555
89196b85b33ffff,185419.84876948546
8919694d177ffff,266443.633307922
89196968093ffff,96678.46592368503
89196bad30fffff,114153.08751183846
89196960063ffff,268935.32285748183
891969684cbffff,71328.72696209628
89196ba2097ffff,247140.294043538
89196948473ffff,116376.77248684036
89196ba0673ffff,266952.9927151236
89196bb4e03ffff,104017.01728875222
8919682cb67ffff,52473.88413943954
89196b14353ffff,266357.99684964377
89196969367ffff,225932.39607857418
89196b8489bffff,265899.18543076457
89196ba0503ffff,201983.00217162434
89196bb1973ffff,266786.04359125905
89196b1410bffff,266226.20155740035
89196ba2837ffff,200097.4375719317
891fa496037ffff,220798.14191047958
89196ba33abffff,254609.76985545957
89196b16333ffff,15.302198734125072
891969680d3ffff,166068.29868343362
89196ba0883ffff,67269.12706338451
89196bb0947ffff,111159.33143261954
89196ba1177ffff,65736.57671562384
89196ba13d3ffff,266839.26502752095
89196b16e23ffff,125502.03603408142
89196bbb32bffff,27195.792941382806
89196bb723bffff,21741.367985854045
89196bb5a83ffff,224135.81230707408
89196bb0e1bffff,19764.75293135554
89196bb405bffff,258713.0742001935
89196bb1e9bffff,262470.4046465813
89196968417ffff,9147.987442165466
89196bb6a6bffff,40017.526809905685
89196959663ffff,255727.96285260114
89196b14077ffff,122212.08048194504
89196ba4c97ffff,242709.7341498032
89196ba0087ffff,267095.5952573107
89196ba2063ffff,104350.36148158708
89196bb32c3ffff,3851.244192539264
89196bb2d73ffff,117703.07746015683
8919694950fffff,9498.339987486157
89196ba050fffff,267161.6106901775
89196bb253bffff,13620.53188331379
891fa492513ffff,161007.62234246562
89196bb50a7ffff,118574.38250067315
89196b1688fffff,93334.67285198614
89196baa5bbffff,266643.92380845465
89196bb5103ffff,109851.80780113605
89196bba137ffff,14093.50795647547
89196ba934fffff,54874.208747010016
89196bb444bffff,248107.09953458828
89196bb2983ffff,259121.75970225074
89196968443ffff,254348.29005826835
891969692a7ffff,118005.37249602468
89196bb864bffff,147473.54649834064
89196bb9803ffff,266215.9571373847
89196ba1c97ffff,110183.315337838
89196bb0cb3ffff,2894.5838371033137
89196bb9ccbffff,266083.7389052449
89196b84977ffff,220616.3513125495
89196bba0abffff,147274.53109003243
89196bba58bffff,27508.55792567652
89196bb99bbffff,247130.75934613502
89196b16e2fffff,265996.4977908865
89196b163cbffff,265991.33636699716
89196ba2163ffff,86927.47398771212
89196ba0363ffff,4724.317869943587
89196ba9ecbffff,157582.38051080215
89196bb8b4fffff,34320.02419868084
89196b84d97ffff,112636.9102520443
89196ba046bffff,267017.41867777274
89196ba13c7ffff,9759.200484491426
89196bb208bffff,197755.72431643098
89196bb1cd3ffff,81.86926212400884
89196bb4d2fffff,97822.68365946533
89196bb413bffff,177988.53324499977
8919694ce8bffff,253552.51189201837
89196b849cfffff,9983.209488210101
89196bb4e17ffff,267747.17650155775
89196b171afffff,266104.8155866307
89196ba060bffff,266942.43090957025
89196b16a93ffff,265504.2842628964
89196b86837ffff,217006.1324567076
89196bb5aa3ffff,230718.89868480174
89196ba158fffff,82577.088776899
891969686b7ffff,233914.54596829327
89196ba05a3ffff,184721.79618075036
89196bb2057ffff,43125.6909993751
