hex9,value
89196b14c87ffff,71123.00936114012
89196b14cb7ffff,44019.112477856674
89196b14c57ffff,7759.443488364376
89196b14ca7ffff,8115.647687355668
89196b06c93ffff,24400.46957177034
89196ba927bffff,35252.18936592029
89196b14e07ffff,31468.99462719993
89196b16b4fffff,44683.481614376826
89196ba9347ffff,24.77640165235602
89196b14e73ffff,3822.4579677095917
89196ba9267ffff,64807.75070902532
89196ba934bffff,8911.881966347668
89196b14c4bffff,178453.1387218985
89196b14c4fffff,12444.587188968102
89196b14dd3ffff,26718.735502851345
89196b14cc7ffff,38603.353822331104
89196b14c1bffff,43980.9634442229
89196b14dcfffff,3237.9448437870433
89196b14c8fffff,21219.164666320525
89196b14cb3ffff,43467.14168898412
89196b14e17ffff,82815.10433807652
89196ba920bffff,53752.521183139004
89196b14d43ffff,99642.0367682305
89196ba921bffff,3533.439897147054
89196b16b6bffff,65629.98291294852
89196b16b7bffff,35524.688747643304
89196b14d4fffff,25358.41381227054
89196b14eb3ffff,77295.32392292707
89196ba9247ffff,72994.91780142445
89196b14ddbffff,41229.87918780037
89196b14e0fffff,56556.44015012242
89196ba9343ffff,5887.7853735635945
89196b14e03ffff,31155.1301888962
89196b14e87ffff,6006.940077336194
89196b14dc3ffff,4062.173988453488
89196b14c83ffff,32487.575496731624
89196b14c8bffff,66023.17413556691
89196b14ebbffff,97520.84636037666
89196ba922bffff,2663.248944415651
89196b14d53ffff,116889.04460114404
89196ba935bffff,5737.852253364943
89196b06c97ffff,1023.4368752196101
89196b14c13ffff,3394.5611309380856
89196b14c43ffff,64763.07573716435
89196b14dcbffff,87904.1388066968
