hex9,value
89196ba7197ffff,267832.388813928
89196badd67ffff,267783.691038196
89196baa31bffff,266617.03735532996
8919694de13ffff,266944.6617552919
89196bb5ba7ffff,21594.300351364087
89196bac943ffff,268051.98469717556
89196bb833bffff,264446.07512393966
89196bab20bffff,266227.93151358195
89196bb8eb7ffff,20984.426147978134
89196ba68d7ffff,268268.8461796362
89196bbb3c3ffff,157101.38303300238
89196ba4a27ffff,268401.4012607847
89196ba53bbffff,267875.749085065
89196ba41dbffff,268114.51315005054
89196bb4307ffff,263661.4079558252
89196bb8e8bffff,128235.73864141549
89196bab643ffff,266125.9389701767
8919694a41bffff,5159.997775970016
89196bb8933ffff,178661.0748724285
8919696b667ffff,17470.331179634668
89196ba98bbffff,266748.66716751026
89196ba719bffff,267803.8418407052
89196b06d67ffff,6556.042016542425
89196ba5d67ffff,268226.6519439166
89196ba421bffff,267964.23525496
8919694897bffff,61828.40189159918
89196bab64bffff,165388.098496003
89196ba8b6fffff,267089.96061956265
89196ba4987ffff,142900.46055986112
89196baa2c3ffff,266450.30170619936
89196bae3c3ffff,267544.7795429275
8919696810fffff,261426.59411598512
89196bac413ffff,267520.7041883664
89196bbb54fffff,8886.640113497418
89196943157ffff,266241.00192256295
8919694894fffff,191819.4570886115
89196ba5eb3ffff,247793.00273802705
89196ba64afffff,267935.0521693639
89196969a17ffff,268518.59402424475
89196bba34fffff,266093.3140774315
89196ba4863ffff,268407.26962175465
89196ba5893ffff,268109.1414264554
89196bb8cc3ffff,252672.05750206654
89196bb8297ffff,266065.4097409365
8919694da9bffff,266997.9017913558
891fa496583ffff,268534.1462321439
89196b334b3ffff,266767.62895820645
891969489cfffff,266493.7603350826
89196bad247ffff,267259.7318087368
89196bac973ffff,268091.15295092476
89196bb9527ffff,99091.6368051085
89196bacc0fffff,221000.4066209186
89196ba6b53ffff,268335.73358677136
89196bb338bffff,212774.81012188076
89196bb0473ffff,177206.4441190213
89196ba5903ffff,52248.730548053245
89196ba68a3ffff,268347.1979345704
89196ba48c7ffff,268364.92212070466
89196ba5da7ffff,268252.12025843025
89196ba9533ffff,266486.09934489476
89196b96d37ffff,167656.87637658787
89196ba4993ffff,268509.49055152026
89196bab177ffff,266457.76593685604
89196bae12bffff,267698.27369798673
89196b32c5bffff,267294.0238992317
89196bb2b03ffff,266905.19427903637
89196bad813ffff,265532.5851537973
89196bad14fffff,267451.0281235336
89196bae3c7ffff,267564.3438413485
891969594c3ffff,265141.8464773459
8919697a847ffff,167469.53909221466
89196948a8fffff,266332.34101139725
89196ba5077ffff,267804.9099865109
89196b96d13ffff,265404.82566362235
89196b324abffff,267032.7466625465
89196ba9a0bffff,266658.07411357353
89196bae863ffff,11230.066953257456
89196b3214fffff,267187.1712290815
8919694f0d3ffff,236285.96869643865
89196bac4cfffff,267492.10783034004
89196ba4bd7ffff,268428.43803657603
89196ba2b63ffff,65661.99715037117
89196b329b3ffff,241939.823608024
89196bbb577ffff,227903.2244026239
89196ba6c97ffff,64426.950826045926
89196ba282bffff,267391.3999739171
89196baf0afffff,86041.01780921436
89196948a0bffff,196661.23630201793
89196ba5acbffff,268009.9404392411
89196ba3267ffff,85175.26239606203
89196bacb67ffff,268057.8001999904
89196bae077ffff,267541.7424936601
8919694f667ffff,266552.15820689785
89196948b13ffff,248421.79724168265
89196bb5b37ffff,267745.9542488029
89196bb8413ffff,266046.9443401338
89196ba8973ffff,99691.37706760626
8919694a5d7ffff,192390.21981363374
89196bacab3ffff,267916.37731696334
89196ba4ec7ffff,268227.7995562112
89196bb5dbbffff,152019.7700454109
89196ba611bffff,223890.03422111186
8919694dc8bffff,96236.74682574303
89196bac8abffff,267981.24803043704
89196ba64b7ffff,88480.27639462723
89196b94113ffff,224981.90375525234
89196ba46a7ffff,45111.05605242186
89196b86423ffff,265502.75438177935
89196ba2b47ffff,267406.81406065414
89196ba6d4fffff,268345.55900003185
8919694d2c3ffff,266632.19035773294
89196bbb187ffff,265390.96674291324
8919695942fffff,265251.7429590478
89196bba26fffff,266006.33325513575
89196bab34fffff,266346.51233500725
89196bae0b7ffff,267567.2659233358
8919694f3dbffff,266662.2450619963
89196ba9a77ffff,266688.0789387554
89196b9684bffff,223213.4504171381
891969489abffff,247580.98158677988
89196ba844fffff,266546.37749181513
89196ba1e4fffff,19216.218332320033
89196b32433ffff,267043.23459113075
89196b86d4fffff,6594.3358209656635
89196bb2a97ffff,262483.63409364753
89196ba6003ffff,291.8636675932766
89196bba213ffff,148062.37318662525
891969488b7ffff,189733.0242102117
89196baaaa7ffff,266904.0555351211
8919694d333ffff,266857.64249554195
89196ba43a7ffff,268178.04274120036
8919694f553ffff,198334.7014825968
8919695990fffff,4349.561417282306
89196ba4a73ffff,268333.61111184343
89196ba8a0fffff,259949.6555714805
89196941497ffff,201795.9971007866
891969410c7ffff,254871.44856835267
891969698cbffff,211630.79605203168
89196bad347ffff,267396.64049089956
89196b96a67ffff,74091.33480670849
89196bae307ffff,267614.0143600913
89196958903ffff,266009.680844122
89196baf563ffff,267332.6333577512
89196ba8b0bffff,267058.4810079731
8919694356bffff,266198.1291232859
89196bb308fffff,264595.9163516233
89196bace77ffff,267836.6090336705
89196bb0477ffff,153413.5015938292
89196bad953ffff,267777.4952943864
89196bb590fffff,2364.2959164870003
89196ba598bffff,268247.7965862103
89196ba6b2bffff,268424.70015859354
89196bb8957ffff,115682.69027073262
89196b32c53ffff,267303.0979558364
891969683cfffff,268521.43525688373
89196ba70abffff,267727.1801035116
89196bad9bbffff,267843.8577808193
8919697ac2bffff,261896.52224453806
89196bb2d37ffff,266768.10793960677
89196ba5e13ffff,267984.1969064081
89196b32dbbffff,267506.36989223596
89196bb290bffff,120928.75656413857
8919697a873ffff,91102.32154825263
89196bb2807ffff,27067.896467379578
8919694334bffff,23098.378104375784
89196ba6413ffff,125085.52061364308
891969589dbffff,16390.657085369196
89196bb436fffff,261467.04216369387
89196b9418bffff,250507.94724422562
89196ba4447ffff,6994.164577834522
89196bab093ffff,266277.6068993516
89196ba0b8fffff,267508.2871438736
89196943333ffff,204747.89957429838
89196baec97ffff,267791.5315803786
89196b06e17ffff,266732.1781458953
89196baa247ffff,266481.8407737924
89196ba1bb7ffff,14757.668510688662
89196ba9b47ffff,266785.7660335214
89196baa04fffff,266535.906212689
89196941cd7ffff,11718.4492930368
89196bb493bffff,13287.660475658073
89196bbab53ffff,223957.14188757798
89196bade97ffff,267548.8491651815
89196b32c7bffff,267343.62378240976
89196bb83cfffff,110461.08148829002
89196ba858bffff,266689.1444805574
89196ba58d3ffff,14135.144085630593
89196ba94a7ffff,49570.28379871525
8919694acb7ffff,1792.7594526137525
89196bae3a7ffff,267651.6338396714
89196baae47ffff,266755.27100618393
89196ba1ba3ffff,66756.91143521306
89196ba0b4bffff,267463.2811046481
89196bb3463ffff,820.9365280380939
89196b9418fffff,127337.38695102325
89196b96db7ffff,118557.5528416672
89196bac353ffff,267630.3715376733
89196bb210fffff,91761.96844230176
8919694154fffff,240463.6064232201
891969412a7ffff,266215.99423550884
8919694a4cfffff,233479.2794380559
89196bae18bffff,263363.74964757904
89196b3249bffff,266972.67615717114
89196bb2ec3ffff,266644.41243899
89196ba7663ffff,197685.79489913353
89196bace83ffff,180470.28276512216
89196bad853ffff,264914.56983129977
8919695943bffff,265221.5982820088
89196bb2dafffff,227160.46466737622
89196b86847ffff,250865.20201693135
89196bb840fffff,266068.04609525204
89196bb8203ffff,266068.54358014185
89196b335abffff,266905.815132497
89196bac373ffff,267680.0251519588
89196baa113ffff,43107.903409015555
8919694d313ffff,266807.93328473135
89196ba608bffff,267940.01941170206
89196b365d7ffff,268059.24256865465
89196b05c2fffff,9539.165522037132
89196badec7ffff,267521.65605716116
8919695962bffff,180087.2405460862
89196bb2177ffff,261523.7258555635
89196baa143ffff,256049.1083302428
89196ba6227ffff,267967.78200009465
891969589cfffff,199844.5625115739
89196941b1bffff,113811.15115281257
89196bb2957ffff,55783.7076360574
89196962a17ffff,269131.0844023605
89196ba5e5bffff,267937.5715239439
89196969dd3ffff,192389.3312826128
89196bb841bffff,266037.9884266558
89196bac49bffff,267499.6412826488
89196ba1497ffff,264086.63949044887
89196b32c73ffff,267352.69969779346
89196bae3d7ffff,267553.8040192687
89196bacb93ffff,268003.7590476159
89196baf487ffff,267191.22888419754
89196b3264bffff,148299.13277718658
89196bad287ffff,267285.491116881
89196bab037ffff,266358.6654932487
89196bb8153ffff,266219.9253721982
89196ba0eafffff,67552.68468355766
89196943557ffff,183006.026603551
89196ba9e2fffff,138197.1704032061
89196b32017ffff,160369.67220138657
89196bab483ffff,266214.5553502735
89196b326afffff,266988.8525724413
89196ba8ddbffff,251292.86302116775
89196ba6363ffff,161578.83951335505
891fa496683ffff,268545.4860167466
89196ba5db7ffff,268241.54041976784
891fa4935bbffff,268205.7363203658
89196baa0abffff,266591.45767530403
89196ba8607ffff,266529.79970523535
89196ba8b27ffff,50329.97737222622
89196ba665bffff,57804.123299898594
89196bb04b3ffff,266521.8211222019
89196bab3c7ffff,14986.375356111008
89196bb5d17ffff,194301.02140743885
89196baa14bffff,266653.0832361628
89196ba59afffff,26790.709449884238
89196bab657ffff,266134.95574478374
89196bbaa9bffff,266298.9963716244
89196942a83ffff,78754.18458315305
89196bad95bffff,267768.42295913026
89196bad177ffff,267499.21589576296
89196959e07ffff,121669.40194985837
8919694158fffff,29897.91743935368
89196bacc47ffff,267860.8301201521
89196bae00bffff,267511.6358794891
89196b335bbffff,266895.3447956958
89196ba9bcfffff,266764.8208629325
89196ba4433ffff,268011.79422143643
89196ba5817ffff,268140.84921763325
8919694156fffff,112163.33805300156
8919694daa3ffff,239671.89783210246
8919694d1d3ffff,266820.3713274118
89196948b93ffff,266447.64730471844
89196ba741bffff,267604.9314144993
89196b06a83ffff,242687.04940960108
89196bb150fffff,266380.93279544334
89196941183ffff,114626.25358282114
89196badd17ffff,267761.22346050467
89196969d67ffff,268667.0495986657
89196b94593ffff,67410.66360252166
89196ba5317ffff,267866.7368533629
89196ba4e87ffff,170684.12475959404
89196bac883ffff,267940.6165758422
89196baceabffff,267844.1998565719
89196bad6a7ffff,267261.60717855906
8919694a56bffff,119210.5787041947
8919695941bffff,265171.98830746196
89196bada4bffff,267578.38690489414
8919696a8b7ffff,81727.8991070662
89196bb81d3ffff,266207.7972810867
89196b3246bffff,267006.9841035697
8919694f42fffff,168739.41779906105
89196b3207bffff,39287.729169918086
89196bbb44bffff,24616.581730007685
89196bb84cfffff,132543.88403324797
89196ba514bffff,267874.19534525234
89196ba5c0bffff,172812.70684086773
8919694c617ffff,266877.04521672404
8919695962fffff,265190.16848011344
89196bb950fffff,265942.5311696256
89196bba04fffff,266019.39996746887
89196bb91abffff,136593.9158075003
89196ba4b03ffff,268469.1980816826
89196bbb26bffff,265724.9043462474
89196bad983ffff,267813.7740754936
89196948d8bffff,61995.78353879051
89196bb5907ffff,252093.5891176333
89196baca3bffff,267919.2827447326
89196bbaa5bffff,266273.71617456677
8919694046bffff,204149.92590041074
89196bba027ffff,30655.67716823722
89196b06bd3ffff,132012.85997108748
89196bb0c43ffff,77511.27538920395
89196969a3bffff,268539.8393688825
89196ba54d3ffff,267649.50910838065
89196b32497ffff,267001.27757585386
89196bac217ffff,74241.81287091535
89196941627ffff,266153.73120867956
89196ba56a3ffff,267684.3672310423
89196bac3a7ffff,267735.80888310703
89196bba3afffff,98705.80229857491
89196ba088fffff,169642.2048319921
89196ba45abffff,21206.672787035444
89196ba5e4fffff,267967.7091932092
89196bb90dbffff,39248.9107870545
89196ba86d3ffff,241853.7826888318
89196ba9b43ffff,266766.2271958396
89196b06a6bffff,215935.9029366448
8919694a42bffff,265927.226236706
89196bb9547ffff,265914.05430349783
8919694c6dbffff,234596.87850775803
89196bb9b0bffff,266280.5986134812
89196bb051bffff,240790.26644991577
89196bb4ad7ffff,211889.35725854657
8919694151bffff,266263.1970537738
89196ba5b97ffff,91459.0516033186
89196ba2923ffff,267537.27633154066
89196ba50c7ffff,267753.6407485538
89196badbafffff,45764.03033105045
89196b06e8fffff,266716.2345343826
891fa4934b7ffff,268140.8485120758
89196baa003ffff,266562.9247872364
891fa496403ffff,268521.05741856084
89196ba7183ffff,267823.41265384475
89196bb306bffff,28904.031243397745
89196b9656fffff,121777.47600752149
89196ba98cfffff,264902.96829963225
89196bb859bffff,266162.40026241
891fa496467ffff,268579.8485849885
89196ba9b2bffff,107164.02941155461
89196bbab43ffff,176494.4155879564
89196b96e7bffff,97884.65113401982
8919694a103ffff,266095.76223090984
89196ba6a8fffff,268245.1635086334
89196bad037ffff,267399.96030273126
89196bbaa27ffff,2114.8205782935584
89196ba56c3ffff,267597.10203734034
8919694f04fffff,266630.2406504632
89196bb034fffff,130191.51526347769
891969432d7ffff,238609.57218075942
89196baa6a3ffff,155417.73937682304
89196bba2d3ffff,265482.05958132114
89196ba8237ffff,234843.2282520765
89196ba4397ffff,248623.90614833325
89196b9610bffff,265134.0733360073
89196ba56dbffff,267577.53784321295
89196bad40fffff,267254.5315560923
89196baa88fffff,45221.363809830276
89196bb2873ffff,266832.52681238356
8919696968fffff,13759.718325862825
89196ba4873ffff,268396.6840789537
8919694de1bffff,266935.776279799
89196bbb08bffff,265763.36880611227
