hex9,value
891fa49344bffff,268185.8337897571
89196b1682fffff,226407.50363042016
89196bb09a7ffff,473.28474868059425
8919694b66fffff,246300.14109440666
891fa49262bffff,102118.68363659517
8919694336bffff,239687.8978800275
89196ba4987ffff,125639.22182361997
8919694960bffff,265642.7515453256
8919694ebdbffff,267271.1946968246
89196b300c3ffff,267110.95938123297
8919694143bffff,4265.888767636896
89196b3003bffff,267190.53666760144
8919694ee73ffff,267130.7260325412
891fa49201bffff,239671.58188153023
89196b32863ffff,267436.54532040434
89196b329b3ffff,25649.050962045083
89196b3656bffff,268102.7129630174
89196bb7447ffff,1298.8350272435937
89196ba3267ffff,1573.1180222175562
8919696ac7bffff,153451.39208941613
89196b04d17ffff,266939.28498928685
8919694a5d7ffff,73591.76502870311
89196b3663bffff,267929.30688729393
8919694b2abffff,111538.12355067207
89196b37487ffff,178062.73759479792
89196b06a3bffff,134632.355373474
89196941497ffff,64346.37199914751
89196ba748bffff,69049.34545432165
89196940a8bffff,263005.1007634299
89196bb290bffff,103349.42324612272
89196ba089bffff,4.966906610671878
8919694334bffff,243063.49251493567
89196b33653ffff,266852.69585387787
89196b04d13ffff,266941.5893971906
89196ba4447ffff,260960.50843080445
89196b16b9bffff,266017.1673199827
89196bb4c83ffff,42567.86648255277
8919694b667ffff,8452.517157684748
89196958b2fffff,266008.421262617
89196bb2957ffff,83045.904749644
8919694e8cbffff,267207.04591716576
89196b32bc7ffff,267467.9727276971
8919694a14bffff,48213.02598830666
89196b3656fffff,148958.1553191539
89196ba9e2fffff,63003.64405915704
89196940e7bffff,57132.8894130291
8919694017bffff,136953.81543889453
89196ba6363ffff,106468.87694946911
89196b3285bffff,267367.38287889736
891fa49352bffff,221379.5223020754
89196bb29a7ffff,218297.25504817162
89196b06b73ffff,266880.1393705936
8919696ae67ffff,92701.07404462864
89196b04c47ffff,267010.09929518215
89196b36603ffff,267899.2289456135
891fa492013ffff,268196.81165708613
89196b3287bffff,267416.98256761656
8919696ae37ffff,172269.27669544227
8919694ea3bffff,267233.9366539256
89196b0694fffff,266773.02780918905
89196b06bd3ffff,134805.81941016222
89196b360b3ffff,268063.54206875555
8919694991bffff,266252.4893123759
89196b06a6bffff,50994.46684106019
89196bb083bffff,125176.63287689336
89196959bbbffff,134435.6061147962
89196b06b53ffff,266868.79263658426
8919694ea13ffff,267193.02097620786
89196badbafffff,222046.39060480535
89196b32a73ffff,267362.44953870564
89196940e83ffff,117533.35291259682
89196b36673ffff,267900.644628494
89196b8446bffff,3123.5475646366776
89196ba98cfffff,553.3990579896016
89196942a67ffff,136017.3547366533
89196b32847ffff,267406.50541551353
8919694ebd7ffff,267299.5955351672
89196b360a3ffff,268074.0471250511
891fa493697ffff,268176.7606346571
8919694ee6fffff,267152.1043875227
89196b3a4cfffff,267329.2057607657
89196ba98cbffff,129776.18274308465
89196ba49b3ffff,268559.2801138392
8919694eacfffff,267164.6240314987
89196b37587ffff,262280.27858240233
89196b32a37ffff,267419.7554405441
8919694b46fffff,37669.53857029337
89196ba6367ffff,151431.98088263348
89196b04d97ffff,266889.1732126946
89196b336b7ffff,266772.81871491147
891fa4920cbffff,268189.2645084402
891fa493097ffff,265117.9010622014
891969680d3ffff,100766.61921614123
89196bada6bffff,6024.2933312641135
89196ba0883ffff,108133.76005612545
891969403afffff,2498.4104844926087
891fa493527ffff,268273.56314113154
8919694c53bffff,251658.24127817882
89196b04127ffff,86173.99701159252
89196b32877ffff,267445.6307584599
89196b366d7ffff,59564.62059194632
8919694a567ffff,337.13430485596734
89196bb6a6bffff,29551.447094268133
89196941647ffff,66489.03480335325
891fa4934c7ffff,83745.84450826426
89196940133ffff,238129.19638173617
89196b06b6bffff,266914.31539163546
89196b06b2fffff,266873.2378342333
8919694a037ffff,50516.39087027266
89196ba9e7bffff,75529.21566476034
8919694e877ffff,225202.24977953004
89196ba934fffff,90729.12399294184
891fa4922dbffff,268243.4387343136
8919694b4b3ffff,47165.96453959012
89196b33627ffff,266838.8403064595
89196b33617ffff,266811.6054979375
8919694232fffff,18364.476273444394
891fa4920c3ffff,268178.72316359007
8919694e85bffff,267208.88963439624
8919694016fffff,266640.8354381321
89196bb8db7ffff,8212.328614904038
89196942aabffff,33120.61458056851
89196b14e93ffff,105551.23695470158
89196b32a57ffff,267332.4203291465
89196941543ffff,31864.94604496289
89196b300c7ffff,267130.51166589756
89196b0695bffff,266759.392262356
8919694164fffff,266058.1044018338
89196942a37ffff,266737.618126685
89196ba0d13ffff,20884.533203240077
8919694a1d3ffff,154001.6169290356
89196b36093ffff,28359.639367720116
8919694b23bffff,773.4387431236039
89196958b67ffff,265980.11354523845
891fa496657ffff,143353.45288027433
891fa4966c3ffff,118403.5444173677
8919694155bffff,266226.0835682636
89196958bafffff,212669.26348433836
891fa496653ffff,161875.5403658755
89196b06b57ffff,266866.4975795576
89196ba364bffff,139305.5988488667
89196bb0823ffff,233890.69539230407
89196942e47ffff,22866.669276586697
8919694b2d3ffff,93653.80112039567
89196bb08a7ffff,69002.20656692379
891fa496603ffff,68473.62098553275
89196949903ffff,266271.9997430007
89196b3650fffff,268110.3609360892
89196b360bbffff,268054.4622979198
89196b86db3ffff,265963.41466272104
89196bada67ffff,2105.9230409013658
8919694e8dbffff,166011.8243184108
8919694ee4bffff,134187.44254475625
8919694a59bffff,265990.7980499433
89196b32957ffff,267532.97532772867
89196bb29cbffff,143341.8195626409
89196b04a97ffff,52585.225795249455
89196b04e4bffff,104959.06436101407
89196b3a473ffff,267046.00662860053
89196bb2883ffff,36785.706706674115
89196bb5457ffff,267162.18756336806
89196959a2fffff,199263.0894367076
89196b04c83ffff,266923.49830447533
8919694ea97ffff,267200.03866198484
89196b3000bffff,187173.98184730293
89196ba4683ffff,214892.5394754596
89196b360cbffff,267977.55084587925
89196b05d27ffff,267238.0820158905
89196bb0837ffff,22167.876289206484
89196b95937ffff,154393.42415227438
89196b059abffff,267320.1476748162
89196b33457ffff,32247.774980246482
89196940ec3ffff,121974.68211636481
8919694a397ffff,266032.114449571
8919694e84bffff,267219.58106684673
89196bb4c9bffff,89855.62707197317
8919694ea37ffff,267262.33820733544
89196bb6a63ffff,2.4347197572800905
891fa49341bffff,257022.2159776081
8919694997bffff,2008.9064373528718
89196badb37ffff,267820.9181938632
89196b3a44fffff,267379.36405746994
89196959babffff,265716.53154345165
89196b06bc3ffff,266834.6188230956
89196941da3ffff,33925.278716412264
89196ba9e4bffff,44830.73447302198
89196b864cbffff,19088.638215259656
89196bb2d47ffff,134768.54909104807
89196b14ec3ffff,266308.2081886909
89196b30193ffff,267275.12067711167
8919694b4afffff,265674.2533738938
89196b366a7ffff,24870.03717178347
