hex9,value
89196b1682fffff,39605.92420738399
891fa49245bffff,268082.2896339926
89196bac0b3ffff,267632.04615383566
89196bac52fffff,267728.40354705794
8919696810fffff,7207.296147446736
89196bacd8fffff,255527.2519634111
89196ba5903ffff,180849.0382470715
89196940c03ffff,2847.0421527699773
89196bae863ffff,7780.439045659933
89196ba9ecfffff,266554.7554398776
89196ba9e07ffff,266613.34953974874
89196940e6bffff,194730.63272005974
89196b37487ffff,89643.55894897654
89196ba8a0fffff,6991.548805335468
89196940a8bffff,3740.951045417043
89196969b93ffff,268032.786102307
89196bb0303ffff,209736.54287645916
89196bb4c83ffff,225220.5605363933
89196969b3bffff,185155.56971281546
89196ba49afffff,265192.5225586352
89196bb1c0fffff,190011.5761478117
89196940e7bffff,209552.69907083613
89196bb1c2bffff,265649.8312157219
89196bb036bffff,111008.58251589074
891fa496cd3ffff,208546.8582411054
89196ba9ec7ffff,228293.65768131713
89196baeacbffff,267746.47998966416
89196baf053ffff,218849.5548188679
89196ba9e57ffff,266565.2315892782
89196bb0323ffff,38152.862818580485
8919694eb47ffff,57680.71783808037
89196bac507ffff,267687.7682376384
89196940e83ffff,149146.52264552045
89196ba98cfffff,1235.1175977522282
89196942a67ffff,130693.881002637
89196baea83ffff,267793.1594735903
89196ba8237ffff,6685.895654834136
89196ba98cbffff,114372.10527404054
89196bb4d63ffff,10297.916508163926
8919694cc87ffff,19115.11358294954
89196baea8bffff,267784.12470076187
89196bac52bffff,267708.8327973414
8919696986fffff,163681.48658075638
89196bb4d4fffff,267690.7562064597
89196bac53bffff,267698.3009592017
89196940c1bffff,266158.9890429276
89196940a97ffff,104175.73136637385
8919694085bffff,7062.421331220804
89196b366d7ffff,208294.0316271204
891fa4934c7ffff,4216.842607530278
89196940cb3ffff,112124.97247563161
8919696b24fffff,89655.54112336904
89196b05c03ffff,267244.96608476713
89196940133ffff,28527.327827782996
89196ba9e7bffff,191056.96558344172
8919696b26fffff,268097.78317839536
89196bb1c77ffff,216039.79157647106
89196ba9ecbffff,29678.039863903687
89196baf627ffff,258831.09199272958
89196ba369bffff,20361.329595058633
891fa496c8fffff,217718.02898340314
89196baf62fffff,25667.495678127536
89196bb24d7ffff,115444.05317912453
891969588a3ffff,78363.55823100868
89196bb8db7ffff,258375.32083201833
89196942aabffff,233586.7524505115
891fa492697ffff,251873.82816733397
89196ba9d0bffff,15841.34280569946
89196ba8a13ffff,107021.46694516498
89196bac0d7ffff,41359.62619208272
89196bab2a7ffff,94859.16646496684
89196940c0bffff,72515.10993255134
89196b36093ffff,239654.2294909654
891fa496653ffff,21155.452399639038
89196ba364bffff,127251.96518078633
891fa496c17ffff,28131.323732229463
89196bb2483ffff,1334.6982760751487
891969698afffff,49.14966111179452
89196942b57ffff,266787.3935367719
891fa49255bffff,48929.69854074603
89196ba088bffff,11035.112342745968
8919694cc8bffff,73020.95992775643
89196b05c27ffff,46498.152409418166
89196942a63ffff,266691.71480544726
89196bb4883ffff,141840.9628560464
89196ba9e73ffff,266595.23839008657
89196ba0813ffff,7930.218043333321
89196bb1c3bffff,266611.26947552647
8919696b263ffff,151989.163485921
8919694ea67ffff,267235.76230250683
89196940ec3ffff,144668.06173613103
8919694cc93ffff,267255.3065039328
89196baea77ffff,38838.99921163912
89196bb4c9bffff,177913.2331665426
89196bb6a63ffff,2679.158032573054
89196ba9373ffff,33054.38913835626
8919696982fffff,194002.94387175643
891969694d7ffff,209317.06123012488
891fa49242fffff,246459.43080690142
