hex9,value
89196b84597ffff,164744.06547996687
891fa49262bffff,109030.60911744086
8919696856fffff,166485.04767681035
89196bacd97ffff,12670.838592730854
89196b06d67ffff,201546.72637909147
8919694897bffff,199617.9046993978
89196bab64bffff,100728.97353466738
89196b86c67ffff,131949.82150296352
89196bb620fffff,81027.79566191696
89196b86e77ffff,98183.5791897932
8919694894fffff,54961.4205136591
89196ba0183ffff,187177.45294760077
8919682cb37ffff,46225.553843697395
89196baaa4bffff,87602.18266784976
89196bacd8fffff,3940.1760205836686
89196bb9527ffff,166909.41046579732
89196bb33a3ffff,340.48981646860227
8919696ae6bffff,268614.5983671106
89196b869d7ffff,108665.56285142066
89196b06c9bffff,942.24822025277
89196b8458fffff,245295.51191041886
89196bb71b7ffff,39301.48571963169
89196ba9557ffff,266418.48544008273
89196ba2b63ffff,201774.95333856082
89196b86ed7ffff,113462.9696762755
89196bab0c3ffff,37174.73704089498
89196b14d83ffff,266126.48674390663
891fa492573ffff,125649.5283471405
891969489abffff,755.6332565090572
89196b960a3ffff,257044.22351220023
89196ba6003ffff,69222.79098471145
8919696b62fffff,4884.914092868838
89196b86c4bffff,43805.477724972356
89196b960abffff,218634.4180880061
89196969b3bffff,71526.32089491881
89196bae18bffff,4272.762463382973
8919694d653ffff,21399.998114158203
89196b05c2fffff,100656.25535904057
89196bb1407ffff,12066.724014135812
8919696aac3ffff,175750.7320239502
89196b331dbffff,54691.548782469814
89196ba1c4bffff,104970.35428939303
8919696ae67ffff,175942.04871332363
89196b9615bffff,94791.37949159283
89196b86167ffff,265695.6897942971
8919696ae37ffff,95362.07093744402
89196b86e87ffff,83181.49535767036
89196bb14abffff,179742.98132350828
89196b8400bffff,0.022061167714101142
89196ba32bbffff,76338.90308609453
89196b334c7ffff,266710.4129447262
89196b861afffff,265711.7167224399
89196b96e7bffff,167325.78142757755
891969596c3ffff,68661.49223563382
89196b86e03ffff,261641.65589574224
89196ba764bffff,69846.80061523014
89196bb334fffff,227387.4839593209
89196b149c3ffff,244616.25951394354
89196b844b7ffff,208743.44122868526
89196b05d67ffff,8816.116359878108
89196968093ffff,87647.73952935831
89196b048c3ffff,196753.36034972535
89196b1690fffff,85681.76560862022
89196b06323ffff,164228.69377220244
89196b33543ffff,84886.07777260794
89196b84137ffff,35104.92706208078
89196b85ea3ffff,45318.27907597034
89196b84117ffff,265758.9393897526
891fa49656fffff,126500.27261332388
89196ba328fffff,152130.27016281307
8919694b6a3ffff,176894.84036380213
89196b86003ffff,47320.03694671739
89196bada6bffff,261603.7191013914
8919696b183ffff,181416.33730756375
8919695906bffff,75961.73990194511
8919696b11bffff,78304.50129509866
891fa492513ffff,3792.7303681129038
89196ba934fffff,37279.2429613671
8919695938fffff,22604.08275065138
89196b0458bffff,142124.4171591256
89196b96023ffff,263849.62438851706
