hex9,value
89196b33547ffff,266859.04626269516
89196baf077ffff,11211.993893131006
89196b9636bffff,105687.34002935776
8919696858fffff,152463.1098056647
89196b14c87ffff,108015.24007691306
8919682cb37ffff,218826.49483400758
89196b9600bffff,128145.33099580655
89196b8e927ffff,265643.2030917985
8919696ac7bffff,115215.00249164319
89196ba8973ffff,161503.38236764868
89196baf147ffff,258851.1248253255
89196b8442bffff,265580.1401597117
89196b94113ffff,32998.916205313384
89196bbb2cfffff,53816.95085398031
89196b960a3ffff,7999.5011941013445
89196b8627bffff,229797.13063550147
89196b06a3bffff,132243.313453988
89196baf14bffff,267347.64402365783
89196b85a6fffff,33334.480251636625
89196b96067ffff,265038.58605544193
89196b84543ffff,265397.10458939977
89196b16d63ffff,156814.20667212692
8919682cb1bffff,264974.2071281976
89196ba0eafffff,199794.4255284684
89196b8512bffff,70667.42947749264
8919694017bffff,125860.61753873907
89196ba8ddbffff,15695.30743529064
89196b8454fffff,133715.91045231232
89196b331dbffff,212189.8088121463
89196b96357ffff,24737.262918317243
89196baf157ffff,33415.4174227832
89196b964b3ffff,264958.4773412121
89196b94593ffff,197721.89685389295
8919696ae37ffff,1038.55333530108
89196bbb44bffff,241047.71551414265
89196baf053ffff,48359.715630680046
89196b8400bffff,141673.46367998436
89196bac0abffff,177493.96352450718
89196b960c7ffff,117384.90193502599
89196ba940fffff,218661.32567363163
89196bb968fffff,106413.42757895138
89196b8446bffff,262419.31387577544
891969596c3ffff,196418.81428143498
89196b14c57ffff,133165.27794679106
89196bad40fffff,23.72296306367317
89196b04597ffff,266809.6350666194
891969685b3ffff,243136.4513762535
89196b94e53ffff,265256.70188368595
89196b04573ffff,148843.19877155754
89196b149c3ffff,21660.455618124826
89196b844b7ffff,56842.18700888632
89196b048c3ffff,70320.52177429994
8919682cb67ffff,212551.77202070458
89196b33543ffff,181953.4266136937
89196b86003ffff,218207.41751375693
8919696858bffff,31018.598315692867
8919682ca37ffff,264915.833566859
89196b8668fffff,265389.3513866268
89196b3224bffff,266967.2334799744
89196ba934fffff,83667.37605922499
89196b0458bffff,124721.66920814259
89196b8609bffff,42916.08895137436
89196ba957bffff,188053.7509586615
89196b96417ffff,264940.8764759357
89196b96023ffff,1206.5907912584912
89196b304cfffff,267048.1907864845
89196baf627ffff,8358.626365695123
89196bb9637ffff,4497.702972163104
89196b845cbffff,265617.41644614836
89196baf62fffff,120554.3625762121
89196b94e1bffff,9421.052100670151
89196b85a83ffff,7583.239258173483
89196b3225bffff,181185.65730917398
89196b0691bffff,721.8790904284998
89196b840d7ffff,265572.9361892871
8919682cab3ffff,141741.4879653472
89196b8e933ffff,139639.41472271836
89196ba649bffff,116444.64813363168
89196bac0d7ffff,226204.67968976538
89196940147ffff,266599.8856190213
89196b3342fffff,197013.515038507
89196b8608fffff,129702.79344495587
89196b941cfffff,165104.39515111106
89196b05c57ffff,46957.39024279491
89196b8442fffff,265599.6274939526
8919682ca13ffff,225867.65948860237
89196b86673ffff,141364.2482105089
89196b330a7ffff,80004.19450574629
89196b04267ffff,178198.08303529464
89196b86287ffff,128226.91888245393
89196ba088bffff,74481.5374709348
89196bac313ffff,52037.58178203735
89196b04a97ffff,214559.3343745718
89196b85e13ffff,121141.27573975179
