hex9,value
89196b16343ffff,127386.17169203836
89196ba5a3bffff,110147.09828675893
89196bacd97ffff,255342.16618475798
89196bb9b93ffff,33925.1408043016
891fa4925abffff,268141.044415151
891fa492d83ffff,268356.31857425347
89196baf077ffff,256066.45931093473
89196b16c57ffff,265802.3923659624
8919696858fffff,40545.018696054336
89196bb987bffff,63106.191783350376
89196baa527ffff,209026.42568371823
89196ba1597ffff,124550.52536187335
89196bb8ad7ffff,266374.91530972754
89196bacc0fffff,46889.04914691226
89196ba0453ffff,234741.15702379498
89196bb440bffff,103471.6644798175
89196ba5903ffff,35171.16887789934
89196ba7673ffff,267563.2893294192
89196bb9993ffff,95135.10417652206
89196bb5157ffff,191125.06452332315
89196979c13ffff,247737.64379670675
89196bb66abffff,8588.639742276546
89196bae863ffff,248869.9862814412
89196bb52b3ffff,195020.84694109551
89196bb53c3ffff,239127.68518324752
89196b16e87ffff,32243.0472360423
8919696a843ffff,191128.28594873115
891fa49610bffff,268731.7759411109
89196bb990fffff,106130.81845145182
89196ba21b7ffff,5089.220708603238
89196ba8973ffff,5937.575007918675
89196bb4293ffff,14222.406091019877
89196baee4bffff,197343.86639975285
89196ba152fffff,66549.29901106298
89196bae813ffff,183622.09445775414
89196ba88d3ffff,266933.947995155
89196ba8d0bffff,267048.2830729269
891fa492573ffff,142523.1720454634
89196bac13bffff,267772.0051511284
89196ba6003ffff,170304.0097136383
89196bb906bffff,265872.25410260586
891fa492ca3ffff,251070.12218261426
89196bb9217ffff,265815.28311087284
8919696921bffff,78326.7632316191
89196bac10fffff,267752.43248912034
8919697ac2bffff,6293.632084718682
89196ba8373ffff,266721.92868205265
89196b14003ffff,266223.6298933118
89196ba4b27ffff,268538.57060828374
89196ba8c0bffff,266911.47099038085
89196969b93ffff,591.1055965135063
891969601a3ffff,222719.2161333448
89196ba1bb7ffff,14086.003842748116
89196978063ffff,118294.30095029672
89196ba8d47ffff,267039.2454481445
89196969b3bffff,11995.136464721061
891fa496047ffff,268679.4642813072
89196ba28dbffff,50901.550424831505
89196bb51cfffff,219569.56226768577
89196bb8a43ffff,266378.0137896221
89196ba7663ffff,61247.74942419808
89196bb9953ffff,62843.12142483394
89196b16d63ffff,17648.038109473917
89196ba49afffff,3387.946228107362
89196bac1bbffff,267759.99503117264
89196bb68afffff,983.2713201938759
89196bb9e5bffff,179409.99790533763
89196b145c7ffff,41411.274507583475
89196ba9e93ffff,266571.43089069123
89196bac597ffff,73565.83088386622
891969694abffff,198070.0108760412
8919696992fffff,268770.0680714576
89196b14603ffff,188861.75406312052
89196bb5153ffff,251161.0850347323
89196ba8c5bffff,266863.35297501145
89196969b0bffff,268637.82714824873
89196ba1243ffff,208057.39041490198
891fa4925afffff,268150.0756695817
89196ba108fffff,101333.97009448755
891969694afffff,50321.923684143374
89196ba665bffff,25.959584013981843
89196ba59afffff,241526.42665232666
89196bb986fffff,190677.30057173292
89196bb669bffff,150598.7816528053
89196b16d37ffff,182185.51332298625
89196ba9163ffff,266532.3709402367
89196ba2377ffff,38738.63906904241
89196ba91a7ffff,266577.6014617554
891fa496ccfffff,268766.0613241056
891fa496cd3ffff,60179.99678667953
8919696a8b7ffff,187066.7698759547
891fa496ca7ffff,268780.70131747436
89196ba9ec7ffff,38270.15094733355
89196bac04fffff,267577.78508595645
891fa496dd3ffff,189676.4881380404
89196baf227ffff,267263.34329783404
89196bacc9bffff,267847.3340088809
89196bb421bffff,265765.26424094057
89196ba088fffff,42953.10092658764
89196b14447ffff,220410.20803778165
89196bac0abffff,90139.56743540746
