hex9,value
89196ba5a03ffff,268068.6840542214
89196ba5a3bffff,157951.7256974363
891fa49262bffff,57052.00195857542
89196bb8933ffff,87993.05522536828
89196bb9b93ffff,232341.8995822172
89196942e73ffff,205892.45720248064
89196ba3197ffff,266874.2291487043
8919694894fffff,19725.322105966916
8919696858fffff,75538.75717270456
89196bb987bffff,203102.300358496
89196baacbbffff,211358.99685657406
89196bb10c3ffff,114.88878624872422
89196b94917ffff,98741.89505923519
89196b9600bffff,37339.88662315718
89196bb5e6fffff,116302.30767865069
89196ba307bffff,194040.20410543648
89196bb990fffff,7323.2452164693295
89196948b13ffff,18038.277690063802
891969495a3ffff,54523.17652976961
8919694b04bffff,141381.63185373053
89196949953ffff,17801.515713709217
89196961097ffff,172989.31207741087
89196bb13b7ffff,189342.56737242697
89196b06d17ffff,117482.77868202302
89196b858dbffff,207399.44888644986
89196bb44cbffff,152942.41959478488
89196969167ffff,8079.574582402915
89196bb308fffff,480.9484281901323
89196ba6453ffff,2793.9732934124213
89196949167ffff,930.130050355821
89196bb2807ffff,239782.43532693473
89196ba6413ffff,120655.3891989041
89196b85a6fffff,152418.1549680597
89196949ed3ffff,265938.6647040054
89196b960abffff,46400.496252060395
89196941597ffff,245907.3734145048
89196b84543ffff,241.49972872374445
8919694064bffff,266298.4011426267
8919694d653ffff,0.014014635715883222
89196ba2543ffff,92535.75302808301
891969496b3ffff,246175.08581669757
89196b05c2fffff,157076.91308859744
89196bb1b33ffff,19508.329846877845
89196b3264bffff,118594.81149326536
89196bb6a53ffff,267678.24354404473
89196ba3453ffff,266618.69624656514
89196ba2243ffff,46886.03761526765
89196bb2817ffff,263471.0134329808
89196ba32b3ffff,266704.8252727251
89196ba665bffff,209937.0796676841
89196b8454fffff,131933.28651931594
89196bb986fffff,75561.22689643042
8919694158fffff,1289.4454216844347
89196bb0d07ffff,207731.45080508606
89196b16d37ffff,14825.547971731663
89196ba241bffff,24951.511233780475
89196bb548bffff,7083.851158260832
891969499d3ffff,261476.84349700052
89196b9615bffff,170294.94877392048
89196b949bbffff,53.00075440614333
89196b85a13ffff,101598.24412539777
89196bb710bffff,108249.66772681393
89196ba3183ffff,236620.24100257672
89196b960c7ffff,6196.309744497137
89196949523ffff,6618.829243857526
89196ba594bffff,156561.1754757095
89196ba32bbffff,132622.2343463234
8919694b12fffff,249597.49213273666
89196ba5b97ffff,174467.72667323047
89196ba2497ffff,52187.711871449894
89196ba1a4fffff,48641.42451890241
89196bb0abbffff,3768.43552263784
89196bb35c7ffff,135147.3673788203
89196bb182bffff,210535.08817192295
89196ba9b2bffff,159680.35738126544
89196bb580fffff,21166.625397299722
89196baa6a3ffff,79197.67376724273
89196ba8237ffff,25113.21429507911
89196bb896fffff,201621.29149828618
89196bb44cfffff,106512.395644339
891969685b3ffff,25438.956733842166
89196b04573ffff,118068.96979795294
89196bb0dcfffff,266940.4714229707
89196bb0d87ffff,258381.2779304525
89196bb0a6fffff,243025.38442754373
89196b05d67ffff,258460.7494168746
89196968093ffff,84136.8391003125
89196948b63ffff,209840.13536181595
89196ba2097ffff,19858.781649038014
89196bb0dabffff,23444.450180193176
89196ba3533ffff,266393.3065666087
89196ba3413ffff,191017.73486819348
89196bb6213ffff,177138.66170413184
89196b8592bffff,306.3367987111782
89196baa637ffff,114645.34820451471
89196bb764fffff,21534.501864070095
89196968247ffff,105423.23863800985
891969680d3ffff,1590.66682704301
89196b96157ffff,39228.2019088739
89196bb0d1bffff,266960.0087329574
89196bb8a27ffff,232475.3608725837
8919695906bffff,11713.24244596149
89196ba8247ffff,266565.6657666858
8919694c377ffff,267100.948189029
89196bb50a7ffff,148747.55055078003
89196b96333ffff,16464.731799568402
8919695938fffff,2804.3209422744458
89196ba7613ffff,88732.79235652265
89196ba1c97ffff,156912.7762822359
89196b8609bffff,222579.53739513506
89196bb8b4fffff,11385.589435745975
89196bb9637ffff,114514.01132250874
89196bb40cfffff,6928.771494812086
89196b849cfffff,73151.22284387075
89196ba369bffff,4018.2153955562158
89196bb1a37ffff,7695.331026540343
89196948b23ffff,57991.193691129556
89196ba9b2fffff,138286.31983006155
89196bb4b23ffff,179393.88080048194
89196b94e93ffff,210180.95827629822
89196bb9443ffff,175364.08778807175
8919696840fffff,22800.20158428944
89196bba937ffff,10306.578208626
89196bb2b37ffff,266963.80306890985
891969496b7ffff,186238.08901853266
89196942e77ffff,86934.9694226053
89196ba952fffff,17484.903893497943
89196baa5dbffff,49120.04487139668
89196b8608fffff,78218.40379750634
89196bb2023ffff,2522.250575025974
89196b94d67ffff,138746.91102413536
89196942e47ffff,243523.30416833225
89196bb4403ffff,79042.43771782736
891969493afffff,25156.7590356993
89196ba225bffff,266883.19162738894
89196941e63ffff,266445.02050753485
8919696809bffff,268454.11021708976
89196948b33ffff,257811.44627568522
89196baa627ffff,94773.97366009053
89196b8418bffff,37712.253087824705
89196bb0ea7ffff,125147.18463482082
89196969643ffff,113185.13399024916
8919694ee4bffff,132895.35639151843
89196ba3013ffff,11477.089782437473
89196b05c27ffff,601.6765548857941
89196bb4527ffff,264747.94645335426
89196b849c3ffff,266047.5694036636
89196b0439bffff,143591.1236481283
89196b04007ffff,119331.6658504885
89196bb8937ffff,176666.48340180313
89196bb7187ffff,129669.51411875081
89196b169b7ffff,263631.5051189161
89196ba32a3ffff,30704.06309203354
89196bb2883ffff,230032.727249394
89196baac83ffff,261310.9599827677
89196b04317ffff,143458.8833171901
89196b848b3ffff,13377.964890658975
89196ba300bffff,113200.0672112313
89196bb2ba7ffff,218174.3483182199
89196bb1bafffff,21.488236212041542
89196bb4883ffff,44684.24768616685
89196bb0a97ffff,228845.1453536639
89196bb1b43ffff,40163.49037137558
89196b05d6bffff,103459.63826592361
89196968573ffff,5077.467139288586
89196ba3017ffff,1058.1617864975378
89196bb1a6fffff,26016.424853833043
89196bb0db3ffff,14444.89571931957
89196b86427ffff,130427.22957111608
89196bb768bffff,116370.80365824369
89196b86557ffff,169310.16218242454
89196bb986bffff,115238.70780704252
89196bb9c4bffff,107700.9789147346
89196959397ffff,100015.33499294403
89196b043cfffff,25726.859610512623
89196949d4fffff,10375.62721363259
89196bb8a07ffff,261604.85899420228
89196bb0c23ffff,266892.4797934306
89196bb9943ffff,119171.7942138208
89196bb0ddbffff,266910.3169927122
89196bb76cbffff,266983.34074752365
89196b0438bffff,260927.60835133892
89196bb9d0fffff,209555.15510257744
89196bb1b9bffff,266697.6318323211
8919694902bffff,63850.77484687531
89196bba687ffff,170760.7513585232
89196bb0b53ffff,104662.12606166315
89196baac8bffff,31824.146808450612
89196bb056fffff,59474.456447687626
89196bb1b57ffff,48939.79962433141
89196bb0c67ffff,659.9339163565901
89196ba2d77ffff,83024.41423729618
89196b86413ffff,18192.78313502791
89196978d37ffff,43634.72025758184
89196b85a73ffff,242065.59810883016
89196bb2b33ffff,71576.16486958663
8919694e307ffff,238445.45134941416
89196bb54b7ffff,41705.14251161329
89196bb1b8bffff,240310.20796209422
89196bb714bffff,267269.28806011693
89196b96003ffff,264816.07536671276
89196b85a47ffff,265618.8799498837
89196bb0a2bffff,11769.07380420867
89196959063ffff,143498.80529960824
891969499cfffff,54021.831012379655
89196bb5497ffff,131724.30936019242
89196b85a4fffff,250898.83827650791
89196bb0d17ffff,266988.46582969977
89196bb58abffff,195131.6036642157
89196bb9acbffff,187695.51011154294
89196ba5a37ffff,10792.14723844365
89196968547ffff,644.2244780955532
89196bb9e97ffff,109343.19751571756
89196bb0e37ffff,266838.9426938245
89196bb4c2bffff,14390.145280924806
89196b169a3ffff,266127.49429259554
89196969c07ffff,268517.5545178357
89196bb110fffff,117537.41882793595
89196bb0a87ffff,165787.10500718502
89196bb9a53ffff,41076.905715021145
89196b3a6b3ffff,182460.35098196333
8919694c357ffff,1692.2662355051455
89196bb2bafffff,118697.30624070003
89196bb16b3ffff,25025.537411437028
8919694b063ffff,156939.43616246333
89196bb4dcfffff,267444.40188757505
89196bb31dbffff,18758.23772554229
89196bb9923ffff,132311.5818107283
