hex9,value
89196b84a43ffff,6090.632288521607
89196bb09a7ffff,266637.51298104844
89196bba427ffff,87868.55304519033
89196bbb4b3ffff,30551.830286347285
89196ba3597ffff,100900.02183476974
89196bb52cfffff,194784.38166199173
89196bb093bffff,194302.93331076455
89196bb10c3ffff,3674.608331889931
89196b85a8bffff,145422.3806139166
89196b842b7ffff,156658.1082398654
89196bb5e6fffff,151196.63977440252
89196b84157ffff,35529.3264394814
89196ba2cafffff,51394.0665212804
8919694f367ffff,266763.48449243326
89196b84bafffff,160070.86714205527
89196bb509bffff,197410.33777755278
89196bbadb7ffff,266502.3689777356
89196948257ffff,23103.921608045704
89196bb1ea3ffff,266556.00654258457
89196bb308fffff,1143.3209111439933
89196ba2dcfffff,119107.21955682739
89196b85a6fffff,79906.84295916255
89196bb532fffff,143320.05424900132
8919694acb7ffff,82218.12423000758
891969695b3ffff,57822.190728260604
8919694134fffff,2043.4771038663255
89196b843c7ffff,164637.5329383684
89196bb1407ffff,97820.84606918084
89196bb096bffff,267057.21523881424
89196b84213ffff,38272.05260589456
89196bb29a7ffff,6805.730872440094
89196bbad9bffff,102.48857944142333
89196bb1e13ffff,170417.2120417408
89196bb548bffff,260085.58002552864
89196bb5e27ffff,235670.7371175998
89196b85a13ffff,10909.237663148277
89196b8400bffff,120458.58584432941
89196bb636fffff,11179.44166360786
89196bb710bffff,159057.0048569326
89196949193ffff,98587.22459540023
89196b85b6bffff,265776.4450128273
89196ba0007ffff,4149.79270759485
89196949523ffff,112398.0238694234
89196bb22cfffff,4898.984543529821
89196bb182bffff,35343.64692389274
89196b84b33ffff,535.962341637609
89196968663ffff,38592.53823125534
89196b84233ffff,205837.52885103988
89196968247ffff,77707.3001841827
89196ba1177ffff,201246.92047598877
89196bbb583ffff,123351.253741042
8919696962bffff,141943.95437402846
89196bb5a83ffff,43402.25390575413
89196bb1e9bffff,4016.4452407792082
89196b859bbffff,265853.5930749497
89196bb5103ffff,68125.71289865563
89196bbb497ffff,265707.40384442575
89196ba0eb3ffff,40090.71527735781
89196bba58bffff,220418.25300571896
89196bb9637ffff,8720.183860565601
89196bb52c3ffff,57807.359823756
89196bb208bffff,68706.04032786995
89196ba0237ffff,172256.1889806793
89196bba487ffff,175344.11897044434
89196b85a83ffff,180906.72710427365
89196b843cfffff,175444.69761368565
89196ba2d83ffff,267401.1628001826
89196bb7373ffff,200784.8158792489
89196ba0a1bffff,157052.81825734462
89196b84b53ffff,265986.80010075227
89196bb1837ffff,261472.3904556284
89196b8418bffff,228016.6013672875
89196bba5cbffff,1703.6339134994214
89196bb735bffff,97353.97640217646
89196bb1e47ffff,266500.729486688
89196bb012fffff,36659.9871797523
89196bb8a9bffff,105807.55764014064
89196bb508fffff,208447.23140523376
89196bb726bffff,267119.7244224638
89196bbac13ffff,146650.09005478988
89196bbaddbffff,1544.464689552477
89196bb4b87ffff,243590.7594711002
89196bb165bffff,261006.26994894128
89196bb0963ffff,115295.89734918097
89196ba0e13ffff,10326.54821931212
89196bb9043ffff,257211.80686495773
89196bb1e73ffff,266520.25238929153
89196bb5127ffff,259493.28442670533
89196bb201bffff,68263.69984883565
89196bb5acfffff,228947.6704723271
89196bb096fffff,11970.726324643934
89196bb31abffff,46134.043960745155
89196ba2d77ffff,154351.28670582606
89196b841cfffff,265711.0508190576
89196bb1087ffff,27321.842511271367
8919694952bffff,65728.98681355084
89196b85a73ffff,23572.77289208021
89196bbadb3ffff,226430.34695649752
89196b85a23ffff,66089.57724571347
8919694b277ffff,219401.00770908786
89196bb3553ffff,171274.51770896645
89196bb5497ffff,43119.08756624371
89196bb18d3ffff,34090.277721294224
