hex9,value
89196ba957bffff,1004.4414315641486
89196b85e13ffff,12091.206086324146
89196ba9373ffff,24330.65814919221
89196b85e7bffff,11.018261364732549
89196b1619bffff,11263.819686095057
89196b1623bffff,8481.132492663553
89196b162a7ffff,45417.003238921636
89196ba954bffff,24499.766799736943
89196ba942fffff,14769.030038778603
89196b9640bffff,103.9725753765805
89196b1606bffff,29862.308693762046
89196b16523ffff,37348.7007545996
89196ba9347ffff,1033.868089076842
89196ba930bffff,8995.810920043228
89196b95983ffff,11.138974677339773
89196b85e8bffff,7796.203561490546
89196ba9473ffff,39697.824787602905
89196ba915bffff,4282.816072480011
89196b85e0bffff,14852.9055224624
89196ba938fffff,29032.585886947476
89196b058abffff,876.2673973659192
89196b05943ffff,78286.16547453281
89196ba93bbffff,19368.50463179873
89196b1652bffff,36212.98030680895
89196b148b3ffff,1557.6025302093585
89196ba933bffff,18834.563674919264
89196b0610bffff,610.3031030734708
89196b1492bffff,3736.774667732393
89196b96473ffff,44.092047880667785
89196ba9037ffff,63079.11633812548
89196ba9307ffff,29867.02702319032
89196ba9097ffff,2508.3338068753546
89196b85e73ffff,3597.4474632646707
89196b16067ffff,28262.413319090836
89196ba91dbffff,33234.661629979404
89196b85ec7ffff,2272.815429770979
89196b3b597ffff,3210.9972108331385
89196ba954fffff,71646.66307701301
89196b16537ffff,4384.679934041234
89196b0594fffff,63808.86333037549
89196b14d43ffff,2392.0582717432117
89196b1606fffff,93939.5950721866
89196b1492fffff,2003.611452341772
89196b058a3ffff,15624.402871672282
89196b05953ffff,82331.21874487995
89196b14d4fffff,11540.069602839072
89196b14977ffff,589.7507165756504
89196ba9317ffff,60158.63509969864
89196ba9023ffff,18908.933698227655
89196ba9477ffff,33724.930505391574
89196b05bb7ffff,6301.825321304682
89196b058afffff,3118.7553027888625
89196ba930fffff,191756.08104898193
89196ba9387ffff,18588.786691982896
89196b058bbffff,22399.151369321226
89196b85e1bffff,17579.784772245497
89196b163d3ffff,60021.66802239056
89196b162afffff,126.45145865385065
89196b16393ffff,0.1160635280209718
89196ba942bffff,21942.24037100085
89196ba90b7ffff,12766.974656614751
89196b16193ffff,54080.2027573515
89196ba90afffff,5693.0891327619465
89196ba9447ffff,46056.60356424229
89196b059cbffff,26625.483675623604
89196b1652fffff,10383.526603381802
89196ba9443ffff,45130.39332594523
89196ba955bffff,9750.02221519973
89196ba945bffff,22912.78422831797
89196ba90a7ffff,67715.51944029129
89196ba9027ffff,37511.00763707547
