hex9,value
89196b16a33ffff,170382.8671245576
8919694a41bffff,106381.87196059011
8919694f4c3ffff,5908.081254795019
8919694f4b3ffff,48942.82538649865
89196bb093bffff,72781.0779572245
89196bacd8fffff,8547.067221454523
89196ba6587ffff,270.32983447397913
89196b84bafffff,825.5414004789899
89196bb990fffff,152909.04280627487
89196bb5dbbffff,115561.93714162438
8919694dc8bffff,170759.42354377097
89196ba64b7ffff,179453.11083873257
89196948257ffff,169978.4103736692
89196ba6413ffff,22135.423821460616
89196bb436fffff,6157.183378328773
89196bb9953ffff,203461.42663409724
89196b16d63ffff,91566.19048531585
89196ba2543ffff,25407.541518738308
89196bb32bbffff,240852.810627807
89196bb58b3ffff,156243.6259009141
89196bb5d17ffff,73383.57255388706
89196b16d37ffff,69063.88151950839
89196ba25cfffff,41353.40973999123
8919694f4c7ffff,107844.81576991436
89196b84b33ffff,11228.72320197723
89196948473ffff,3879.4304095409534
89196b8489bffff,69501.5285042425
89196ba2837ffff,156241.45348841822
891fa496037ffff,220798.14191047958
89196bb0947ffff,111159.33143261954
89196bb5a83ffff,224135.81230707408
89196ba0087ffff,63980.25447860386
89196bb32c3ffff,3851.244192539264
89196ba050fffff,76940.29399749529
891fa492513ffff,161007.62234246562
89196bba137ffff,14093.50795647547
89196bba58bffff,27508.55792567652
89196b849cfffff,9983.209488210101
89196bb991bffff,57172.320283389316
8919696b2c3ffff,21108.404722545507
89196bb5ca3ffff,19911.949447853753
89196baa5dbffff,2328.4478613056863
89196bb7213ffff,66722.22972615118
8919694862bffff,86740.81239510035
8919694840bffff,231730.0169836874
8919694c353ffff,41137.50044149522
89196948447ffff,158191.6974534685
8919694821bffff,11834.603452463341
891fa49255bffff,219215.8897952867
89196b84e13ffff,53140.79525128538
89196969643ffff,154864.03722814692
8919694dccfffff,46693.44791567679
8919696b2cbffff,161567.53169695576
89196bb1a6fffff,57328.93855383924
8919696b2a3ffff,178.07465695243792
89196b84c6bffff,157029.53378283064
89196bb9837ffff,134001.59318313014
891fa49242fffff,21677.11804625726
89196b141afffff,12259.014473591633
89196bb0963ffff,87291.20489507659
891969606afffff,19481.398465533515
89196bb5acfffff,20240.618852282627
89196bb366fffff,143379.26883898664
891fa4961d3ffff,84.21954695873478
89196ba052bffff,17614.153111505482
89196bbad73ffff,78091.3870782608
89196bb9933ffff,165098.7946867356
89196ba2a97ffff,194129.25134447525
89196bb092bffff,22494.039246061897
89196bb3203ffff,1450.690689839167
891fa496577ffff,1450.8800168728915
89196bbaccbffff,130965.80986172288
89196bba9b7ffff,75592.21055577131
89196ba25b3ffff,24308.173318371988
89196b16d17ffff,41251.15838010488
89196bb3213ffff,231891.11461558993
89196bb32c7ffff,190687.4088543371
89196b16a3bffff,63781.78755845989
89196ba2807ffff,256.9430513335917
89196bb721bffff,168740.44000706135
8919694a26fffff,49881.47193685864
89196bbac33ffff,55190.34397984482
89196b3a6cbffff,216875.1775445705
89196bb0957ffff,10260.506923319992
89196948623ffff,42259.39654256469
89196bba18fffff,158450.2897950225
8919694f48bffff,266482.20721444534
8919694de83ffff,1512.3925656101335
89196948247ffff,41337.55112938347
89196bb9823ffff,585.2390486829273
8919696b203ffff,51417.012303140335
89196ba056bffff,248344.80610607995
89196bba18bffff,70201.64850813229
89196bb51a3ffff,6387.163564495962
89196b169d3ffff,126483.68096688284
89196ba2d27ffff,118438.00347412606
8919694a403ffff,4386.744805479461
8919694a0d7ffff,47451.50750148311
89196b14cdbffff,35520.44188319806
89196ba2983ffff,17363.254979520174
89196ba00b7ffff,267134.6877709671
89196bb32a3ffff,95614.64282060969
89196b84d33ffff,73208.3724132471
89196bbac07ffff,79790.93983469829
89196bb4b63ffff,21252.027021367885
89196bb58bbffff,139879.19827409554
89196ba350bffff,266794.4739870679
89196ba2e6fffff,13035.774396301696
89196bb720fffff,23144.237730518875
89196ba0543ffff,219106.41698563733
89196baa413ffff,121452.89090577874
891969482cfffff,191405.19145142415
89196b16a6bffff,169670.89861459797
89196bb5643ffff,128.16556216963357
89196ba349bffff,26414.850347944524
8919694a2b7ffff,20191.837594645393
89196b84d47ffff,2211.88643887437
89196b16a77ffff,1206.920499034414
8919694a2abffff,112208.04927169159
89196ba64c7ffff,57089.01489419589
891fa496023ffff,5970.567355770852
89196ba6583ffff,84841.80457474498
89196bb09b3ffff,185636.4280228599
89196b848d3ffff,13608.980897384921
89196948443ffff,312.3076549064222
89196b0596bffff,166560.0053083271
89196bbac23ffff,197348.65512157333
89196941a6fffff,2661.820801096248
8919694a46fffff,85678.75835464608
89196b16da7ffff,51151.463326022946
89196bb090bffff,250329.83365579834
89196bba9b3ffff,12807.806789091857
89196b14cd3ffff,198033.22791942174
8919694a0c3ffff,87877.62582112086
89196ba0577ffff,260840.70096565934
89196baa41bffff,12636.206120396368
89196bb5c93ffff,163124.83493987864
891fa4960a3ffff,14445.502642155423
891fa49258bffff,15790.244540471558
89196b3a657ffff,107770.40093431056
89196bb09abffff,4359.67423581405
89196ba055bffff,3306.4459390308257
89196baa4c3ffff,42878.512464479805
89196ba6593ffff,182288.22886036558
891fa496503ffff,16112.932044423716
89196ba2a93ffff,18777.20152558731
891fa49650fffff,160380.9981387708
89196ba258fffff,78811.83317629516
89196baa4abffff,134640.83606065303
89196b1419bffff,32500.407346007516
89196bb5c83ffff,318.3566267224502
89196bb9907ffff,153342.19103127104
89196bb32a7ffff,9923.377481242807
891fa496573ffff,145071.71727255656
8919694c35bffff,124070.80653717811
89196b84d03ffff,73775.88445184517
89196bb588bffff,136327.79973739976
89196ba2843ffff,253037.41232621836
89196bb091bffff,31818.95447785387
89196948633ffff,121785.10071854974
89196960677ffff,89059.63170093703
89196bb9937ffff,147866.59424446695
89196bb098fffff,40334.96256275814
89196bb0977ffff,267075.08032321394
89196b14567ffff,234562.67883481548
89196b329a3ffff,71199.80732953563
8919694a22bffff,5378.303048706552
8919696b2afffff,12570.486660929171
8919694f49bffff,143123.92431915225
8919694dedbffff,56694.700341092495
89196bb32afffff,215197.16136429273
89196bba513ffff,41364.169473110815
8919694ded7ffff,245212.53081769633
89196b1686bffff,55461.102210682955
89196ba2587ffff,103200.7780492625
89196ba9563ffff,75121.73596090652
89196bbacdbffff,85050.54583768215
89196b1687bffff,236166.34471966093
891969602c3ffff,24734.527513775138
89196ba056fffff,162474.16344041494
89196bb16d7ffff,23340.311009190926
89196bb9807ffff,2329.3459496027745
89196bb32d7ffff,186496.12814887593
89196b84dbbffff,262.5208547021215
8919694dc97ffff,101586.73080195658
89196bb5817ffff,228382.4903128288
89196b3a6d3ffff,166920.73982379097
89196bb328fffff,129472.70873881289
89196baa4c7ffff,89232.40656707213
89196b1680fffff,115982.22487174069
89196bb32abffff,3557.350256019775
89196bb5cb7ffff,60654.92887320944
89196bb32b3ffff,72526.33008306098
89196ba938fffff,731.0292892850482
89196bacd83ffff,5969.032916396277
89196bb4b6fffff,257525.76039083413
8919694a04fffff,163367.50144398978
89196bb5dc7ffff,265378.57460261864
8919694dc1bffff,23483.53416369594
89196bb5a97ffff,266985.95215336804
89196ba91c3ffff,19884.9285126241
89196ba287bffff,6158.150057276465
89196bb4b6bffff,237581.14848761196
89196b84ebbffff,92288.86326405904
89196bb4b67ffff,95888.38202922152
89196bb0917ffff,252081.04989096563
89196ba6487ffff,21165.190915795334
89196ba93afffff,77394.72495415533
89196ba956bffff,141733.8963358368
89196b05943ffff,48317.222952501616
89196bb7247ffff,252139.03424351284
89196b84d2bffff,3160.508486154461
891fa492407ffff,45509.298414623656
891fa492517ffff,48573.19838476737
89196ba284fffff,20893.55874318166
89196bb422bffff,88786.15564044629
89196bbad0bffff,97133.21562513559
89196ba053bffff,216001.4457307504
89196b16d03ffff,182307.8201484198
89196bb32cfffff,202891.9111722527
89196ba298bffff,2539.3025075592404
8919694502fffff,3028.2314488976644
89196b8498bffff,61131.3844568473
89196b16a6fffff,209575.87357804424
89196ba93bbffff,127144.61102270937
89196bba52bffff,51099.54083446378
89196b16d6fffff,192722.27953982935
89196bb32b7ffff,5226.186180598627
89196baa4a3ffff,82428.13653470643
89196ba0553ffff,20535.36698221249
89196bb8b6bffff,27866.73795294153
89196bb724bffff,129521.30605977794
89196bb321bffff,49797.73490408497
89196bb5c97ffff,152582.38937776018
89196bb5acbffff,93353.28379509276
8919694866fffff,87982.65858386688
89196bbacc3ffff,82142.3232675381
8919694a057ffff,167833.93932985194
89196bb427bffff,141161.72420213537
89196958a67ffff,30571.09777592158
89196bb0967ffff,80010.20846507122
89196bb580bffff,124995.00629704249
89196ba6597ffff,253680.5522037787
89196bb5847ffff,12144.91861033261
89196b84b2bffff,3185.16008114377
89196ba0537ffff,111054.35815514019
89196b141a7ffff,264646.86032412713
891969482d7ffff,104416.266687917
8919694de8bffff,1473.9020594357457
89196b16a4fffff,39328.52933488466
89196bba577ffff,24432.24225468157
89196bb5803ffff,208737.51924221686
891969482c7ffff,9180.09187621332
89196baa4cbffff,111594.07744706958
89196bb9a9bffff,158668.3730757627
89196bb3667ffff,41484.50843768861
891fa492557ffff,208117.6011282552
8919694844fffff,97164.64204836615
89196ba283bffff,122000.21769416815
8919694dc8fffff,51226.65281802825
891969491afffff,110725.94891622213
89196b16aabffff,334.4146695467126
89196bbad2fffff,52200.533716193735
89196ba2a83ffff,147176.44810868456
89196ba00a3ffff,109710.75465226354
89196b14c9bffff,100088.82946820123
89196ba2d2fffff,121344.47408156066
89196b8496fffff,95655.91582449533
89196bb424bffff,10.045292702644046
891fa492503ffff,20940.803324736742
89196960637ffff,18139.879201902695
891fa49257bffff,1761.8476118318704
89196baa4cfffff,53961.831033725364
89196ba9037ffff,102446.47039449982
89196bb1a6bffff,75574.15080175735
89196bb1a4bffff,78639.87780349153
89196bb3243ffff,3357.957926801612
8919694a01bffff,374.9686031697867
89196b3a6dbffff,64252.25244454023
89196baa5d3ffff,2779.7734046175574
89196bb5ca7ffff,116119.07442877353
89196ba64c3ffff,72970.83731911803
8919696b2abffff,67057.77403559463
89196bba1abffff,90303.81835112296
89196b14577ffff,139822.80186538227
89196b141a3ffff,167095.50365248133
89196bb5e2fffff,20551.231467015994
8919696063bffff,239922.26050258626
89196bb9ad7ffff,200068.37007733155
891fa4920b7ffff,79157.78340222416
89196b14c93ffff,18819.503706910415
89196ba64bbffff,186213.64732186613
89196b84ea7ffff,165888.45839100948
891969491a3ffff,180257.59201573988
8919694a40bffff,116831.33664144124
8919694dc87ffff,17445.840814577925
89196bb09bbffff,222756.14869356074
89196ba64b3ffff,100415.53068134308
8919696b217ffff,104618.14311047966
89196bacd87ffff,38807.39562194697
89196bb5807ffff,477.338338317025
89196b84e8bffff,34548.27325516632
89196bba56fffff,9460.613099376427
89196bb5d83ffff,129096.84184023849
89196ba054bffff,65474.63222979576
89196ba9307ffff,212714.4450820224
89196bb0913ffff,21188.311111768606
89196bb0907ffff,106649.93780531979
89196ba9303ffff,68774.95377740436
89196ba05a7ffff,871.9090971353463
89196bb5a93ffff,196804.94583688327
89196948453ffff,12033.528283259777
89196b14cd7ffff,109368.56088898394
891969484d7ffff,150353.23974402802
89196bb584bffff,99957.5446742996
89196bb3253ffff,56590.57669782678
8919696066bffff,1258.6423199353767
89196bb5d8fffff,212167.3028707453
89196b05ba7ffff,3255.7977896686243
89196b14197ffff,174893.30110945308
89196b1457bffff,32673.891741085234
891fa492403ffff,74207.35689441812
891fa496033ffff,101112.59100992279
89196ba9193ffff,35092.0899472643
89196ba64dbffff,43712.792149872985
89196bb32cbffff,99657.47209469225
8919694847bffff,461.07434826023746
891969484cfffff,93487.70722246761
8919696062bffff,162304.4627283541
89196b0591bffff,116.23454908396437
89196ba2873ffff,78739.10485923609
89196bb5d93ffff,28637.08532424499
89196b8494fffff,239856.91598678194
89196bb0987ffff,57399.96582941967
8919694a043ffff,83659.20802758398
89196bb422fffff,2130.902579689455
8919694a46bffff,6165.097088688206
89196ba2833ffff,91337.32388508049
89196b84957ffff,126818.21510739205
89196ba2803ffff,61309.19057301061
8919694a0c7ffff,27587.412066005207
8919694dc13ffff,235406.4847838473
891fa492547ffff,92444.4149864919
8919694f48fffff,79266.54054941353
89196ba91dbffff,233216.72648028116
89196bb5d57ffff,158264.28993531578
89196bb5cb3ffff,134804.39839444694
89196b849c7ffff,201382.2797988166
89196ba0523ffff,49225.41954433969
89196bb9e6fffff,37480.935874074035
89196bb585bffff,80707.11569511873
89196bbaccfffff,157432.8166619306
8919694dcd7ffff,8927.889978573648
8919694841bffff,251277.66566619047
89196ba64a3ffff,136944.23799285962
89196b14193ffff,252468.42022246477
891fa492553ffff,94622.24864028007
891fa4924c7ffff,5355.845567614405
89196b1450bffff,636.0120883122522
89196b16aa3ffff,75661.42145057296
89196b3b597ffff,103301.08686233567
891fa49241bffff,73648.58567152463
89196bb9a83ffff,25650.489921345026
89196948403ffff,64353.86040273676
891fa4924cbffff,636.587211972985
89196948667ffff,132514.20031187707
89196b329afffff,118749.21473717662
89196b84897ffff,16184.557702709364
891fa4960a7ffff,266133.3794395794
89196b8491bffff,129997.96590340824
89196bb5a87ffff,218148.43293276394
89196bb4d37ffff,60610.04311036865
89196bb5d4fffff,59867.14542404547
89196b84e8fffff,75513.84416409023
8919694f41bffff,6032.793337993706
89196bb5d13ffff,140507.1394870031
89196b84d23ffff,73862.5746619372
89196b84963ffff,4028.8691904200305
89196bb5ac7ffff,50709.984280966615
891fa492543ffff,268154.6267517179
89196b84d8fffff,37413.408218757526
89196b0597bffff,150655.9330111212
89196bb5d4bffff,267588.2657850688
89196b84eabffff,75014.44247358078
89196ba9567ffff,100003.71901641466
89196bb169bffff,4227.642669004331
89196bb3663ffff,55426.23925326942
891fa49254bffff,67228.42292644209
8919696960bffff,12247.55547428894
89196b16aafffff,234328.03193451153
89196b0594fffff,45765.38961352535
89196bb0903ffff,264761.0544351126
89196ba956fffff,99648.94981456012
8919694a49bffff,40463.6799899717
89196b05b27ffff,69536.71569111163
8919694a0d3ffff,39983.483461769385
8919696b21bffff,111538.83711160385
8919694a413ffff,19638.274355891837
891969482cbffff,3423.495911492443
891969602d3ffff,100821.52350516396
89196bba58fffff,189418.665529631
8919694d167ffff,3277.0805026876883
89196b84d73ffff,110269.08982649504
89196b84b23ffff,69718.4988643805
891fa496563ffff,56679.821094981504
89196b16877ffff,554.7615375330817
89196ba2823ffff,19358.252868286687
89196b1699bffff,7693.857166789932
89196b8499bffff,141432.32132183007
89196bbad53ffff,94934.6076237178
89196b168afffff,77395.04009355366
89196960667ffff,178243.55321559933
89196ba2813ffff,116751.88872665491
89196b84d07ffff,219824.88198403863
891969491b3ffff,13445.465322425283
89196bb0973ffff,264286.08509954496
89196bacd8bffff,4705.416749909362
8919694ded3ffff,115744.12593044857
891fa49656bffff,149365.16638196574
89196b84b37ffff,3806.5554094669005
89196b84eafffff,33247.96837152379
89196bbac37ffff,121045.43980598896
8919694dec3ffff,88085.1128479942
89196969673ffff,40897.036441233824
89196bba517ffff,81361.9397034897
89196bb5dc3ffff,153230.26466680988
89196bba993ffff,12688.653269201914
891fa4960b7ffff,55327.61516964981
89196ba054fffff,267124.1162663625
891fa49657bffff,88719.09251536231
89196ba648fffff,196516.98198395752
89196bb5a9bffff,74027.1919012458
89196bba567ffff,161205.3979453532
89196ba0567ffff,74566.0776749462
89196bba583ffff,108523.09190517152
89196ba29cbffff,54855.19169623213
89196ba2557ffff,159382.01557412161
891969491bbffff,25574.526670283685
89196bb99cfffff,69378.2355984442
89196bb990bffff,206042.0006107339
8919694f413ffff,67972.09735747988
89196bb7273ffff,238296.74340747448
89196b16873ffff,241355.71059161727
89196bb5d9bffff,213869.17538679778
8919694a267ffff,138198.66444391484
89196bb58d7ffff,118240.82122383389
89196bb5ab3ffff,22613.56633935182
89196ba2ad3ffff,148923.6648914563
89196bb588fffff,82845.04861198604
8919694a2a3ffff,117261.74328600962
8919696062fffff,534.9706402477416
89196b84d6fffff,81561.88110153891
89196b84893ffff,78767.58350379729
891969486afffff,77397.28702657468
89196bb993bffff,14167.378873346792
89196bbad77ffff,91507.41236087028
89196bb4367ffff,1025.7769758561672
89196ba659bffff,195870.90445438155
89196ba2a87ffff,15029.264753491145
89196bb5887ffff,90770.00032324943
89196b169d7ffff,23043.08026607336
89196b3a6cfffff,153741.63311956098
89196bb5897ffff,78011.41482753982
89196ba2adbffff,159416.80584760735
89196bb58c3ffff,151.46251694471363
89196ba2997ffff,19546.30846978497
89196bb5d53ffff,63153.97189980635
89196baa4afffff,101527.73294579421
89196b16a67ffff,203132.5338269265
89196bb5d8bffff,267654.40939507534
89196ba648bffff,165791.51787344055
89196bb4b2fffff,243.99529031581315
89196bb564bffff,70408.53377280146
89196bb7257ffff,237571.76942359976
89196b16d67ffff,27465.19675055349
89196b16a2bffff,212224.0863383528
89196ba0573ffff,267152.63744262094
89196bb9903ffff,102828.73558969342
89196bbad2bffff,91562.85598708483
89196bb58c7ffff,133438.46366785967
89196b16a23ffff,128332.63211172464
89196b84bb7ffff,116366.62147790608
89196b84d37ffff,113039.15215136613
89196b05953ffff,50458.12439743383
89196ba25bbffff,51722.97377150551
89196b84973ffff,2301.3264604539904
89196ba91cbffff,81840.89373914446
89196bba53bffff,32594.97859239072
89196b16833ffff,82872.46338083543
89196ba9333ffff,106211.56191581397
89196bb5ad7ffff,87679.5507062623
8919694a4d7ffff,212041.14600383386
89196bb9957ffff,216938.48466262833
8919694a463ffff,100297.87007067862
89196bb5857ffff,181363.57723344746
89196ba2503ffff,11971.341005224438
89196960663ffff,76991.05574612677
89196bb9833ffff,119021.34128594206
89196b8490bffff,44353.366407642345
89196bb5c87ffff,87564.60424171083
89196b16aa7ffff,153566.81514470594
891969482d3ffff,4317.540131590177
89196b059cfffff,181525.81941270133
89196ba2993ffff,128348.87731484708
89196ba9317ffff,145300.2692312132
891fa492427ffff,121015.59043190765
8919696965bffff,69112.95430672739
89196ba93abffff,240585.53597979553
89196ba280fffff,185771.9844053328
89196bba507ffff,49538.872433883385
89196b141b3ffff,266044.4652682685
8919694dc83ffff,82590.5112827945
8919696b2cfffff,99731.54831941743
