hex9,value
891969451bbffff,267332.081384939
891969615afffff,268771.4402636089
8919697b3d7ffff,267648.1629629738
891969615d3ffff,268662.7480311891
89196979bbbffff,268142.9184262633
89196945103ffff,267314.43458798155
89196949b0fffff,266220.4554360245
8919696128fffff,268596.98027256643
89196bb8eb7ffff,245403.75758297474
89196948077ffff,35295.96624364866
8919694e087ffff,197622.68702944164
8919694c927ffff,267559.4315611765
89196bb68cfffff,267749.5813601561
89196bb065bffff,234830.77519912075
89196979123ffff,267888.48669343186
89196baa133ffff,266738.70711945056
89196942377ffff,266487.1730109148
89196979a67ffff,268020.0662520757
8919696856fffff,102086.6189274982
8919696b667ffff,250561.8803354995
8919694336bffff,26523.683114480024
89196949c6fffff,266084.04337592144
89196949b2fffff,39151.36466398691
8919696a417ffff,268333.41736226226
891969606bbffff,268803.33359189815
891969413bbffff,266313.52839483455
89196941983ffff,266693.14196183125
89196b86c67ffff,133882.31833975815
89196942e73ffff,60713.429831099056
8919696a5cfffff,268422.44479432964
89196bb620fffff,186360.81989698837
89196b86e77ffff,167575.747798768
891969790afffff,267749.73665239586
89196ba1ad7ffff,267069.3710595236
8919694f4b3ffff,217665.74953239126
891969485cbffff,266051.928525293
89196bb8d0bffff,227667.4503321977
8919694e8bbffff,267283.370732032
89196979567ffff,267795.95681846293
89196ba130fffff,266909.9600015777
89196b86c47ffff,265782.53904950304
89196baacbbffff,55495.40652023843
891969404b7ffff,266451.7176470571
89196941c2bffff,266535.1063200453
89196bba963ffff,266542.20139891555
8919694518fffff,267312.53689671995
8919697ab2fffff,89023.3230291777
89196bb0e6bffff,266783.69768801937
89196bb8cc3ffff,13682.90250628757
89196978a7bffff,268242.62021286495
89196bb898fffff,266613.50137845427
8919694838fffff,266121.2605494086
89196941683ffff,266071.95950988424
89196941113ffff,266340.17811393045
8919694194fffff,266679.23664208595
8919694822fffff,266046.8205163812
89196baaa4bffff,31166.222010725745
89196978d77ffff,268395.54928230256
89196bb1137ffff,164075.86730124798
891969633afffff,268696.46357780136
89196979d27ffff,268182.09233973303
89196941887ffff,232976.09469782645
8919696a4d7ffff,144076.02750990033
8919694c48bffff,266908.82033545803
89196ba4087ffff,268054.16854186635
89196979d87ffff,268119.77131713403
89196bbab23ffff,266516.91946002515
89196bb0473ffff,89290.37460833776
8919694140bffff,266137.37239876366
89196979923ffff,267617.9002831249
89196bb752bffff,232365.6371130753
89196958bdbffff,259687.8844091523
8919697b497ffff,267535.65410087426
89196b96d37ffff,97817.04126424842
8919697b32bffff,267730.0424490286
89196bb33a3ffff,265992.98081687646
89196949dd3ffff,264357.08553727495
891969791a3ffff,267876.01755892305
89196bb657bffff,267495.4528579065
89196b869d7ffff,157304.78983864115
89196940c03ffff,263907.08894489857
8919697a847ffff,100736.91504957803
89196979c13ffff,20227.332727962257
89196bb66abffff,258743.25448771485
8919694aa97ffff,266243.3235747403
8919694d91bffff,267209.33321739204
8919696324fffff,268484.6018190974
891969408dbffff,266759.87401419843
8919694f0d3ffff,30310.43423094507
89196949ddbffff,266128.38744840096
8919697b24fffff,267525.5862064812
89196945217ffff,267124.6850586165
89196bbae87ffff,266264.08441210026
8919694b0d7ffff,265660.24092409026
89196bb8883ffff,266466.27084105206
89196bb41cbffff,267605.134025248
89196ba6c97ffff,128458.02292463573
89196979053ffff,267653.7146105461
89196bb8c17ffff,266413.51970983285
89196bb7447ffff,237804.05186522566
89196b86ed7ffff,152234.44501472433
8919694981bffff,266115.9362665997
89196948a0bffff,69664.00897503241
89196ba3267ffff,179961.19773127924
8919696b0afffff,268185.3890896418
8919694e513ffff,266968.40342487814
89196bb26d3ffff,37719.29965461416
8919696365bffff,226048.61123966315
89196bab0c3ffff,229075.82797389445
89196baee4bffff,70340.89907033052
89196b86967ffff,266042.9102524445
89196baf147ffff,8525.112131377124
